iter,cost,risk,return,par,bw,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.06578527053763021,0.135443,0.0038724589247395923,0.10006000000000001,1.9996206119913893,[0.         0.         0.         0.         0.1028275  0.         0.         0.         0.21466644 0.         0.04327908 0.         0.         0.         0.         0.0965094  0.20875983 0.02257246 0.         0.         0.         0.         0.         0.         0.         0.10705482 0.         0.06963992 0.0173062  0.         0.11738434],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
100,0.06578527053763021,0.135443,0.0038724589247395923,0.10600000000000001,1.9624152415273162,[0.         0.         0.         0.         0.1028275  0.         0.         0.         0.21466644 0.         0.04327908 0.         0.         0.         0.         0.0965094  0.20875983 0.02257246 0.         0.         0.         0.         0.         0.         0.         0.10705482 0.         0.06963992 0.0173062  0.         0.11738434],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
200,0.06578527053763021,0.135443,0.0038724589247395923,0.112,1.9255367900893574,[0.         0.         0.         0.         0.1028275  0.         0.         0.         0.21466644 0.         0.04327908 0.         0.         0.         0.         0.0965094  0.20875983 0.02257246 0.         0.         0.         0.         0.         0.         0.         0.10705482 0.         0.06963992 0.0173062  0.         0.11738434],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
300,0.06314247868955564,0.131117,0.0048320426208887345,0.11800000000000001,1.8893513724964697,[0.         0.         0.         0.         0.21530031 0.         0.         0.         0.04052418 0.         0.06637811 0.         0.0518135  0.         0.09498763 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09556416 0.05148853 0.         0.30410698 0.02166197 0.05817463 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
400,0.056843540570379346,0.118885,0.005197918859241308,0.124,1.853845964993813,[0.         0.05165245 0.         0.06101144 0.1658114  0.02372287 0.         0.         0.         0.03467052 0.         0.02890768 0.         0.05115232 0.         0.         0.         0.         0.         0.06108137 0.         0.         0.         0.         0.         0.36767072 0.         0.15431924 0.         0.         0.        ],[0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
500,0.056843540570379346,0.118885,0.005197918859241308,0.13,1.819007788573887,[0.         0.05165245 0.         0.06101144 0.1658114  0.02372287 0.         0.         0.         0.03467052 0.         0.02890768 0.         0.05115232 0.         0.         0.         0.         0.         0.06108137 0.         0.         0.         0.         0.         0.36767072 0.         0.15431924 0.         0.         0.        ],[0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
600,0.056843540570379346,0.118885,0.005197918859241308,0.136,1.7848243043771468,[0.         0.05165245 0.         0.06101144 0.1658114  0.02372287 0.         0.         0.         0.03467052 0.         0.02890768 0.         0.05115232 0.         0.         0.         0.         0.         0.06108137 0.         0.         0.         0.         0.         0.36767072 0.         0.15431924 0.         0.         0.        ],[0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
700,0.056843540570379346,0.118885,0.005197918859241308,0.14200000000000002,1.7512832091790513,[0.         0.05165245 0.         0.06101144 0.1658114  0.02372287 0.         0.         0.         0.03467052 0.         0.02890768 0.         0.05115232 0.         0.         0.         0.         0.         0.06108137 0.         0.         0.         0.         0.         0.36767072 0.         0.15431924 0.         0.         0.        ],[0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
800,0.056843540570379346,0.118885,0.005197918859241308,0.148,1.7183724309619208,[0.         0.05165245 0.         0.06101144 0.1658114  0.02372287 0.         0.         0.         0.03467052 0.         0.02890768 0.         0.05115232 0.         0.         0.         0.         0.         0.06108137 0.         0.         0.         0.         0.         0.36767072 0.         0.15431924 0.         0.         0.        ],[0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
900,0.056843540570379346,0.118885,0.005197918859241308,0.154,1.6860801245700097,[0.         0.05165245 0.         0.06101144 0.1658114  0.02372287 0.         0.         0.         0.03467052 0.         0.02890768 0.         0.05115232 0.         0.         0.         0.         0.         0.06108137 0.         0.         0.         0.         0.         0.36767072 0.         0.15431924 0.         0.         0.        ],[0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
