iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.06578527053763021,0.135443,0.0038724589247395923,0.19680541481672217,8.502054739115913,1.814793281833753,[0.         0.         0.         0.         0.1028275  0.         0.         0.         0.21466644 0.         0.04327908 0.         0.         0.         0.         0.0965094  0.20875983 0.02257246 0.         0.         0.         0.         0.         0.         0.         0.10705482 0.         0.06963992 0.0173062  0.         0.11738434],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,1000,8400,540,0.39965684608361346,0.1960962077290072,0.9053032954439681,0.3913444896314355,8.528294710236777,0.9097127846290642,0.5,1,10,42,base,
10,0.04169966385293012,0.08527,0.0018706722941397595,0.20318827860615682,8.269498447195135,2.2838055623946203,[0.         0.         0.83545492 0.         0.         0.         0.         0.01430079 0.02010922 0.         0.         0.         0.         0.         0.         0.         0.         0.0175748  0.         0.         0.01244034 0.02581263 0.02023288 0.         0.         0.02195069 0.         0.         0.01623445 0.01588928 0.        ],[0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0.],10.0,best,1000,8400,540,0.39965684608361346,0.1960962077290072,0.9053032954439681,0.3913444896314355,8.528294710236777,0.9097127846290642,0.5,1,10,42,base,
20,0.04057018383398075,0.085746,0.004605632332038501,0.21028034948330643,8.01855551334062,12.432870939850465,[0.         0.01153789 0.         0.         0.01209915 0.         0.02735048 0.02354426 0.         0.01654917 0.         0.         0.         0.         0.         0.         0.01248493 0.         0.0251959  0.         0.         0.         0.84442497 0.01188435 0.         0.0149289  0.         0.         0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0.],10.0,best,1000,8400,540,0.39965684608361346,0.1960962077290072,0.9053032954439681,0.3913444896314355,8.528294710236777,0.9097127846290642,0.5,1,10,42,base,
30,0.04057018383398075,0.085746,0.004605632332038501,0.21737242036045604,7.7752275946473794,10.297162101864838,[0.         0.01153789 0.         0.         0.01209915 0.         0.02735048 0.02354426 0.         0.01654917 0.         0.         0.         0.         0.         0.         0.01248493 0.         0.0251959  0.         0.         0.         0.84442497 0.01188435 0.         0.0149289  0.         0.         0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0.],10.0,best,1000,8400,540,0.39965684608361346,0.1960962077290072,0.9053032954439681,0.3913444896314355,8.528294710236777,0.9097127846290642,0.5,1,10,42,base,
40,0.04057018383398075,0.085746,0.004605632332038501,0.22446449123760565,7.5392836088728625,-0.6493835938957933,[0.         0.01153789 0.         0.         0.01209915 0.         0.02735048 0.02354426 0.         0.01654917 0.         0.         0.         0.         0.         0.         0.01248493 0.         0.0251959  0.         0.         0.         0.84442497 0.01188435 0.         0.0149289  0.         0.         0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0.],10.0,best,1000,8400,540,0.39965684608361346,0.1960962077290072,0.9053032954439681,0.3913444896314355,8.528294710236777,0.9097127846290642,0.5,1,10,42,base,
50,0.04057018383398075,0.085746,0.004605632332038501,0.23155656211475525,7.310499486104992,7.650760283200314,[0.         0.01153789 0.         0.         0.01209915 0.         0.02735048 0.02354426 0.         0.01654917 0.         0.         0.         0.         0.         0.         0.01248493 0.         0.0251959  0.         0.         0.         0.84442497 0.01188435 0.         0.0149289  0.         0.         0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0.],10.0,best,1000,8400,540,0.39965684608361346,0.1960962077290072,0.9053032954439681,0.3913444896314355,8.528294710236777,0.9097127846290642,0.5,1,10,42,base,
60,0.04057018383398075,0.085746,0.004605632332038501,0.23864863299190486,7.088657955968743,4.088023923653829,[0.         0.01153789 0.         0.         0.01209915 0.         0.02735048 0.02354426 0.         0.01654917 0.         0.         0.         0.         0.         0.         0.01248493 0.         0.0251959  0.         0.         0.         0.84442497 0.01188435 0.         0.0149289  0.         0.         0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0.],10.0,best,1000,8400,540,0.39965684608361346,0.1960962077290072,0.9053032954439681,0.3913444896314355,8.528294710236777,0.9097127846290642,0.5,1,10,42,base,
70,0.04057018383398075,0.085746,0.004605632332038501,0.24574070386905447,6.873548341290079,5.621923041953931,[0.         0.01153789 0.         0.         0.01209915 0.         0.02735048 0.02354426 0.         0.01654917 0.         0.         0.         0.         0.         0.         0.01248493 0.         0.0251959  0.         0.         0.         0.84442497 0.01188435 0.         0.0149289  0.         0.         0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0.],10.0,best,1000,8400,540,0.39965684608361346,0.1960962077290072,0.9053032954439681,0.3913444896314355,8.528294710236777,0.9097127846290642,0.5,1,10,42,base,
80,0.02883908118331981,0.062173,0.004494837633360378,0.2528327747462041,6.664966358021286,2.145762154780583,[0.02636021 0.03782755 0.         0.         0.         0.02547627 0.         0.         0.         0.         0.         0.         0.         0.03105366 0.01807942 0.         0.         0.         0.02416313 0.         0.         0.01254248 0.02468156 0.         0.01288601 0.78692971 0.         0.         0.         0.         0.        ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0.],10.0,best,1000,8400,540,0.39965684608361346,0.1960962077290072,0.9053032954439681,0.3913444896314355,8.528294710236777,0.9097127846290642,0.5,1,10,42,base,
90,0.02883908118331981,0.062173,0.004494837633360378,0.2599248456233537,6.462713921237675,7.514019314097352,[0.02636021 0.03782755 0.         0.         0.         0.02547627 0.         0.         0.         0.         0.         0.         0.         0.03105366 0.01807942 0.         0.         0.         0.02416313 0.         0.         0.01254248 0.02468156 0.         0.01288601 0.78692971 0.         0.         0.         0.         0.        ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0.],10.0,best,1000,8400,540,0.39965684608361346,0.1960962077290072,0.9053032954439681,0.3913444896314355,8.528294710236777,0.9097127846290642,0.5,1,10,42,base,
