iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
1,0.1429098493267184,0.0054278861880060186,0.7,-0.3371553799917041,[0.         0.02315187 0.04541588 0.07768594 0.24157633 0.0905507  0.         0.         0.1564715  0.         0.         0.         0.         0.         0.         0.02104582 0.         0.09232323 0.         0.         0.         0.         0.         0.         0.         0.15795453 0.         0.0938242  0.         0.         0.        ],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
10,0.1429098493267184,0.0054278861880060186,0.7,1.8069069226559356,[0.         0.02315187 0.04541588 0.07768594 0.24157633 0.0905507  0.         0.         0.1564715  0.         0.         0.         0.         0.         0.         0.02104582 0.         0.09232323 0.         0.         0.         0.         0.         0.         0.         0.15795453 0.         0.0938242  0.         0.         0.        ],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
20,0.1429098493267184,0.0054278861880060186,0.7,-0.954868565216544,[0.         0.02315187 0.04541588 0.07768594 0.24157633 0.0905507  0.         0.         0.1564715  0.         0.         0.         0.         0.         0.         0.02104582 0.         0.09232323 0.         0.         0.         0.         0.         0.         0.         0.15795453 0.         0.0938242  0.         0.         0.        ],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
30,0.1429098493267184,0.0054278861880060186,0.7,0.2996871220432984,[0.         0.02315187 0.04541588 0.07768594 0.24157633 0.0905507  0.         0.         0.1564715  0.         0.         0.         0.         0.         0.         0.02104582 0.         0.09232323 0.         0.         0.         0.         0.         0.         0.         0.15795453 0.         0.0938242  0.         0.         0.        ],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
40,0.1429098493267184,0.0054278861880060186,0.7,0.6766129152242447,[0.         0.02315187 0.04541588 0.07768594 0.24157633 0.0905507  0.         0.         0.1564715  0.         0.         0.         0.         0.         0.         0.02104582 0.         0.09232323 0.         0.         0.         0.         0.         0.         0.         0.15795453 0.         0.0938242  0.         0.         0.        ],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
50,0.1429098493267184,0.0054278861880060186,0.7,0.7519893883134149,[0.         0.02315187 0.04541588 0.07768594 0.24157633 0.0905507  0.         0.         0.1564715  0.         0.         0.         0.         0.         0.         0.02104582 0.         0.09232323 0.         0.         0.         0.         0.         0.         0.         0.15795453 0.         0.0938242  0.         0.         0.        ],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
60,0.1365646621149204,0.005222735739975831,0.7,1.6633500792523956,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
70,0.1365646621149204,0.005222735739975831,0.7,1.4033873754801773,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
80,0.1365646621149204,0.005222735739975831,0.7,-0.03787367356794529,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
90,0.1365646621149204,0.005222735739975831,0.7,0.6690184254439371,[0.0124329  0.         0.01582146 0.         0.26858254 0.         0.         0.         0.2648844  0.         0.         0.         0.         0.         0.         0.26594286 0.03860167 0.         0.         0.         0.         0.05812931 0.         0.         0.01983336 0.         0.04090581 0.01486569 0.         0.         0.        ],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.],10.0,1000,100,0.7,1,1,10,42,base
