iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.1645161461317428,0.166221,0.004264386825719488,0.1004,0.69863918733465,0.029411117262092418,[0.         0.         0.         0.         0.28613221 0.         0.         0.         0.         0.02074534 0.         0.01610728 0.         0.01610087 0.         0.         0.         0.         0.01610087 0.01859726 0.         0.         0.         0.         0.02469444 0.36882635 0.02864311 0.20405226 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.99,1,10,,problem_solving
10,0.12459274822042549,0.188159,0.0029719780084093775,0.10400000000000001,0.6865103033060405,0.0026586149316218163,[0.         0.         0.         0.0173033  0.12052796 0.         0.         0.         0.         0.         0.         0.         0.04594614 0.         0.         0.         0.         0.02944837 0.         0.         0.         0.         0.         0.02711972 0.02360568 0.58815587 0.05489133 0.05889591 0.         0.         0.03410572],[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.99,1,10,,problem_solving
20,0.12015988327566485,0.192498,0.0033908070506049465,0.10800000000000001,0.6732805664933595,-0.017122454199361925,[0.         0.         0.         0.         0.02502806 0.         0.         0.02054668 0.02428638 0.         0.         0.         0.0427742  0.         0.         0.         0.         0.         0.02527344 0.02459161 0.         0.         0.         0.         0.03626773 0.37541476 0.02757228 0.39824486 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.99,1,10,,problem_solving
30,0.117149018175711,0.177289,0.00467503720083079,0.112,0.6603057798763129,0.0045003119953404705,[0.         0.02056532 0.         0.         0.11188498 0.         0.         0.         0.         0.02004595 0.         0.         0.03209411 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.0230402  0.02651186 0.34443247 0.02651879 0.36669659 0.         0.         0.02820973],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.99,1,10,,problem_solving
40,0.117149018175711,0.177289,0.00467503720083079,0.116,0.6475810303108847,0.009922973058735466,[0.         0.02056532 0.         0.         0.11188498 0.         0.         0.         0.         0.02004595 0.         0.         0.03209411 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.0230402  0.02651186 0.34443247 0.02651879 0.36669659 0.         0.         0.02820973],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.99,1,10,,problem_solving
50,0.117149018175711,0.177289,0.00467503720083079,0.12000000000000001,0.6351014993342337,0.023369743465462205,[0.         0.02056532 0.         0.         0.11188498 0.         0.         0.         0.         0.02004595 0.         0.         0.03209411 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.0230402  0.02651186 0.34443247 0.02651879 0.36669659 0.         0.         0.02820973],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.99,1,10,,problem_solving
60,0.117149018175711,0.177289,0.00467503720083079,0.124,0.622862461340094,0.025522973280943058,[0.         0.02056532 0.         0.         0.11188498 0.         0.         0.         0.         0.02004595 0.         0.         0.03209411 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.0230402  0.02651186 0.34443247 0.02651879 0.36669659 0.         0.         0.02820973],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.99,1,10,,problem_solving
70,0.117149018175711,0.177289,0.00467503720083079,0.128,0.6108592817893356,-0.0036827946767667647,[0.         0.02056532 0.         0.         0.11188498 0.         0.         0.         0.         0.02004595 0.         0.         0.03209411 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.0230402  0.02651186 0.34443247 0.02651879 0.36669659 0.         0.         0.02820973],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.99,1,10,,problem_solving
80,0.117149018175711,0.177289,0.00467503720083079,0.132,0.5990874154550098,-0.004274026960800771,[0.         0.02056532 0.         0.         0.11188498 0.         0.         0.         0.         0.02004595 0.         0.         0.03209411 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.0230402  0.02651186 0.34443247 0.02651879 0.36669659 0.         0.         0.02820973],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.99,1,10,,problem_solving
90,0.10748097851539964,0.186713,0.004234304017582684,0.136,0.5875424047012152,-0.0224936853045968,[0.         0.         0.         0.         0.18013934 0.         0.         0.         0.         0.0268592  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02392497 0.         0.         0.         0.02599562 0.03608909 0.58633531 0.0281704  0.04502056 0.         0.01594618 0.03151932],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.99,1,10,,problem_solving
