iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.010124828424155543,0.102678,0.004785959402921414,0.504,0.894725436791504,-6.114399892600944,[0.         0.         0.         0.         0.85959811 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.12342014 0.01698175 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
2,0.004270977678852443,0.102428,0.005011591458211033,0.508,0.8894817858241639,5.386230729223806,[0.01109523 0.         0.         0.         0.96352724 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02537752 0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
3,0.004270977678852443,0.102428,0.005011591458211033,0.512,0.8842688659329022,3.767367778970746,[0.01109523 0.         0.         0.         0.96352724 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02537752 0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
4,0.004258091248807498,0.101252,0.004282137325027525,0.516,0.879086497014382,-2.170025633735459,[0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.         0.         0.         0.         0.97698193 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
5,0.004258091248807498,0.101252,0.004282137325027525,0.52,0.8739345000207845,-4.756541646440199,[0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.         0.         0.         0.         0.97698193 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
6,0.004258091248807498,0.101252,0.004282137325027525,0.524,0.8688126969536234,8.943151791867507,[0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.         0.         0.         0.         0.97698193 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
7,0.004258091248807498,0.101252,0.004282137325027525,0.528,0.8637209108575947,2.911629396105617,[0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.         0.         0.         0.         0.97698193 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
8,0.004258091248807498,0.101252,0.004282137325027525,0.532,0.8586589658144633,-9.922712862099864,[0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.         0.         0.         0.         0.97698193 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
9,0.004258091248807498,0.101252,0.004282137325027525,0.536,0.8536266869369854,-3.1147896070451027,[0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.         0.         0.         0.         0.97698193 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
10,0.004258091248807498,0.101252,0.004282137325027525,0.54,0.8486239003628652,-7.10174142428963,[0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.         0.         0.         0.         0.97698193 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
11,0.004258091248807498,0.101252,0.004282137325027525,0.544,0.8436504332487491,-1.2240451515413637,[0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.         0.         0.         0.         0.97698193 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
12,0.004258091248807498,0.101252,0.004282137325027525,0.548,0.838706113764254,-0.5251785216353385,[0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.         0.         0.         0.         0.97698193 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01150903 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.62,1,3,,problem_solving,10
