iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,-0.009507633474700232,0.16859,0.0048379936192425935,0.5004,0.8994711474430547,-3.7956834470052554,[0.         0.         0.         0.         0.89882994 0.         0.         0.         0.02283067 0.         0.         0.         0.02302413 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02195881 0.         0.         0.03335644 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
10,-0.00956583464987686,0.225278,0.0048777751850962205,0.504,0.894725436791504,-2.6929047767347343,[0.         0.         0.         0.01460974 0.92554042 0.         0.         0.         0.         0.         0.         0.01460974 0.         0.         0.         0.         0.         0.01460974 0.         0.         0.         0.03063037 0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
20,-0.010123501127703896,0.172072,0.004901359644507686,0.508,0.8894817858241639,-5.442330459086886,[0.         0.         0.         0.         0.88523401 0.         0.         0.         0.         0.         0.         0.03561449 0.         0.         0.0232306  0.         0.         0.         0.02076714 0.         0.         0.         0.         0.         0.         0.03515375 0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
30,-0.01035310044037766,0.193917,0.004972346153811605,0.512,0.8842688659329022,-6.07777871677026,[0.         0.02026287 0.         0.         0.91245484 0.         0.         0.         0.03773665 0.         0.         0.         0.         0.01653116 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01301448 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
40,-0.01035310044037766,0.193917,0.004972346153811605,0.516,0.879086497014382,2.959123667499227,[0.         0.02026287 0.         0.         0.91245484 0.         0.         0.         0.03773665 0.         0.         0.         0.         0.01653116 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01301448 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
50,-0.01035310044037766,0.193917,0.004972346153811605,0.52,0.8739345000207845,0.8462406844781036,[0.         0.02026287 0.         0.         0.91245484 0.         0.         0.         0.03773665 0.         0.         0.         0.         0.01653116 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01301448 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
60,-0.01035310044037766,0.193917,0.004972346153811605,0.524,0.8688126969536234,5.114079814776892,[0.         0.02026287 0.         0.         0.91245484 0.         0.         0.         0.03773665 0.         0.         0.         0.         0.01653116 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01301448 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
70,-0.01035310044037766,0.193917,0.004972346153811605,0.528,0.8637209108575947,-4.61243710161213,[0.         0.02026287 0.         0.         0.91245484 0.         0.         0.         0.03773665 0.         0.         0.         0.         0.01653116 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01301448 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
80,-0.01035310044037766,0.193917,0.004972346153811605,0.532,0.8586589658144633,-10.993312273545078,[0.         0.02026287 0.         0.         0.91245484 0.         0.         0.         0.03773665 0.         0.         0.         0.         0.01653116 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01301448 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
90,-0.01035310044037766,0.193917,0.004972346153811605,0.536,0.8536266869369854,-4.6123640385354205,[0.         0.02026287 0.         0.         0.91245484 0.         0.         0.         0.03773665 0.         0.         0.         0.         0.01653116 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01301448 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
100,-0.010431929315645927,0.195282,0.005611102292585727,0.54,0.8486239003628652,0.1511770694150295,[0.         0.         0.         0.         0.93045162 0.         0.         0.         0.01572464 0.         0.01868374 0.01941535 0.01572464 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],5.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.0,1,5,,run_09,10
