iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.08374901615729774,0.191106,0.00436268481210862,0.1004,0.8980246687982377,0.0012628362089138097,[0.         0.01744202 0.         0.         0.16430304 0.         0.02268051 0.         0.0406616  0.         0.02569025 0.01744202 0.         0.         0.         0.         0.02797502 0.         0.         0.         0.         0.         0.         0.         0.         0.34399721 0.         0.30938352 0.         0.03042479 0.        ],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
10,0.07979548351477608,0.187749,0.0037661946343613907,0.10400000000000001,0.880440647156254,0.12099792712773885,[0.         0.03110704 0.         0.         0.13768831 0.         0.02049876 0.         0.08748305 0.         0.02700904 0.         0.         0.         0.         0.         0.02662567 0.         0.         0.         0.         0.         0.         0.         0.         0.041864   0.         0.57523333 0.03455993 0.         0.01793086],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
20,0.07979548351477608,0.187749,0.0037661946343613907,0.10800000000000001,0.8613063701832483,-0.04472969323427903,[0.         0.03110704 0.         0.         0.13768831 0.         0.02049876 0.         0.08748305 0.         0.02700904 0.         0.         0.         0.         0.         0.02662567 0.         0.         0.         0.         0.         0.         0.         0.         0.041864   0.         0.57523333 0.03455993 0.         0.01793086],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
30,0.06347658730643167,0.185117,0.0028268871186413907,0.112,0.842587931071048,-0.1141707913438273,[0.         0.         0.         0.         0.03152474 0.         0.         0.         0.0376496  0.         0.0181584  0.         0.02188095 0.         0.02437841 0.         0.03145567 0.         0.         0.         0.         0.         0.         0.         0.         0.32774127 0.         0.41839351 0.06137223 0.02744521 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
40,0.06347658730643167,0.185117,0.0028268871186413907,0.116,0.8242762925758254,0.11587175409433136,[0.         0.         0.         0.         0.03152474 0.         0.         0.         0.0376496  0.         0.0181584  0.         0.02188095 0.         0.02437841 0.         0.03145567 0.         0.         0.         0.         0.         0.         0.         0.         0.32774127 0.         0.41839351 0.06137223 0.02744521 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
50,0.06347658730643167,0.185117,0.0028268871186413907,0.12000000000000001,0.806362613856686,-0.052193751929891674,[0.         0.         0.         0.         0.03152474 0.         0.         0.         0.0376496  0.         0.0181584  0.         0.02188095 0.         0.02437841 0.         0.03145567 0.         0.         0.         0.         0.         0.         0.         0.         0.32774127 0.         0.41839351 0.06137223 0.02744521 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
60,0.05512363873572456,0.187074,0.002260680472207744,0.124,0.7888382462073213,0.09288679603123975,[0.         0.02470117 0.         0.         0.12499902 0.         0.         0.01512175 0.03688007 0.         0.         0.         0.01438467 0.         0.         0.         0.         0.         0.         0.         0.         0.02742578 0.         0.         0.         0.29517132 0.         0.40228776 0.0238391  0.         0.03518936],[0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
70,0.05512363873572456,0.187074,0.002260680472207744,0.128,0.7716947288804205,-0.04381651221843052,[0.         0.02470117 0.         0.         0.12499902 0.         0.         0.01512175 0.03688007 0.         0.         0.         0.01438467 0.         0.         0.         0.         0.         0.         0.         0.         0.02742578 0.         0.         0.         0.29517132 0.         0.40228776 0.0238391  0.         0.03518936],[0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
80,0.05512363873572456,0.187074,0.002260680472207744,0.132,0.7549237850028305,-0.08657542090151532,[0.         0.02470117 0.         0.         0.12499902 0.         0.         0.01512175 0.03688007 0.         0.         0.         0.01438467 0.         0.         0.         0.         0.         0.         0.         0.         0.02742578 0.         0.         0.         0.29517132 0.         0.40228776 0.0238391  0.         0.03518936],[0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
90,0.05512363873572456,0.187074,0.002260680472207744,0.136,0.7385173175794899,-0.0864181353483141,[0.         0.02470117 0.         0.         0.12499902 0.         0.         0.01512175 0.03688007 0.         0.         0.         0.01438467 0.         0.         0.         0.         0.         0.         0.         0.         0.02742578 0.         0.         0.         0.29517132 0.         0.40228776 0.0238391  0.         0.03518936],[0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.9,0.1,0.5,1,10,,tuning_bw
