iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.09339404801661781,0.19201,0.005221903966764355,0.1008,0.8980246687982377,4.3618023394439085,[0.         0.         0.02117788 0.         0.04932599 0.         0.01342747 0.         0.         0.         0.07892778 0.01691414 0.         0.         0.         0.         0.03980327 0.         0.         0.         0.         0.         0.         0.         0.         0.68919244 0.         0.         0.05979889 0.01805892 0.01337322],[0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1.],10.0,random,1000,10000,10,0.6,0.1,0.9,0.1,0.9,5,0.5,1,10,,tuning_bw,
10,0.07532832072681238,0.153257,0.0026003585463752403,0.10800000000000001,0.880440647156254,7.621497141531155,[0.         0.         0.         0.01149489 0.0158032  0.         0.         0.         0.         0.         0.         0.         0.02591612 0.         0.         0.02443799 0.         0.         0.         0.         0.01608822 0.02191426 0.         0.03580949 0.03828185 0.         0.         0.79768493 0.         0.         0.01256905],[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1.],10.0,random,1000,10000,10,0.6,0.1,0.9,0.1,0.9,5,0.5,1,10,,tuning_bw,
20,0.07532832072681238,0.153257,0.0026003585463752403,0.116,0.8613063701832483,-1.7415519986953825,[0.         0.         0.         0.01149489 0.0158032  0.         0.         0.         0.         0.         0.         0.         0.02591612 0.         0.         0.02443799 0.         0.         0.         0.         0.01608822 0.02191426 0.         0.03580949 0.03828185 0.         0.         0.79768493 0.         0.         0.01256905],[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1.],10.0,random,1000,10000,10,0.6,0.1,0.9,0.1,0.9,5,0.5,1,10,,tuning_bw,
30,0.07532832072681238,0.153257,0.0026003585463752403,0.124,0.842587931071048,-2.0075436113022826,[0.         0.         0.         0.01149489 0.0158032  0.         0.         0.         0.         0.         0.         0.         0.02591612 0.         0.         0.02443799 0.         0.         0.         0.         0.01608822 0.02191426 0.         0.03580949 0.03828185 0.         0.         0.79768493 0.         0.         0.01256905],[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1.],10.0,random,1000,10000,10,0.6,0.1,0.9,0.1,0.9,5,0.5,1,10,,tuning_bw,
40,0.058083953860927594,0.118311,0.0021430922781448176,0.132,0.8242762925758254,-4.091867210224706,[0.         0.         0.01257768 0.         0.78977402 0.         0.         0.         0.05251518 0.         0.01360479 0.         0.01203665 0.         0.         0.         0.03617132 0.         0.02060529 0.         0.02282188 0.         0.         0.         0.         0.02661592 0.         0.01327726 0.         0.         0.        ],[0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,random,1000,10000,10,0.6,0.1,0.9,0.1,0.9,5,0.5,1,10,,tuning_bw,
50,0.058083953860927594,0.118311,0.0021430922781448176,0.14,0.806362613856686,-0.7337809550708095,[0.         0.         0.01257768 0.         0.78977402 0.         0.         0.         0.05251518 0.         0.01360479 0.         0.01203665 0.         0.         0.         0.03617132 0.         0.02060529 0.         0.02282188 0.         0.         0.         0.         0.02661592 0.         0.01327726 0.         0.         0.        ],[0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,random,1000,10000,10,0.6,0.1,0.9,0.1,0.9,5,0.5,1,10,,tuning_bw,
60,0.029414628319193198,0.063324,0.004494743361613607,0.14800000000000002,0.7888382462073213,13.476784535684306,[0.         0.01578222 0.04012857 0.         0.0185243  0.         0.         0.04739634 0.         0.02584665 0.         0.         0.         0.         0.         0.01211306 0.03336547 0.         0.         0.         0.         0.         0.         0.         0.         0.7680923  0.         0.         0.0212107  0.01754039 0.        ],[0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0.],10.0,random,1000,10000,10,0.6,0.1,0.9,0.1,0.9,5,0.5,1,10,,tuning_bw,
70,0.029414628319193198,0.063324,0.004494743361613607,0.156,0.7716947288804205,-8.809181120952585,[0.         0.01578222 0.04012857 0.         0.0185243  0.         0.         0.04739634 0.         0.02584665 0.         0.         0.         0.         0.         0.01211306 0.03336547 0.         0.         0.         0.         0.         0.         0.         0.         0.7680923  0.         0.         0.0212107  0.01754039 0.        ],[0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0.],10.0,random,1000,10000,10,0.6,0.1,0.9,0.1,0.9,5,0.5,1,10,,tuning_bw,
80,0.029414628319193198,0.063324,0.004494743361613607,0.164,0.7549237850028305,2.1692898241587097,[0.         0.01578222 0.04012857 0.         0.0185243  0.         0.         0.04739634 0.         0.02584665 0.         0.         0.         0.         0.         0.01211306 0.03336547 0.         0.         0.         0.         0.         0.         0.         0.         0.7680923  0.         0.         0.0212107  0.01754039 0.        ],[0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0.],10.0,random,1000,10000,10,0.6,0.1,0.9,0.1,0.9,5,0.5,1,10,,tuning_bw,
90,0.029414628319193198,0.063324,0.004494743361613607,0.17200000000000001,0.7385173175794899,-2.626589101568361,[0.         0.01578222 0.04012857 0.         0.0185243  0.         0.         0.04739634 0.         0.02584665 0.         0.         0.         0.         0.         0.01211306 0.03336547 0.         0.         0.         0.         0.         0.         0.         0.         0.7680923  0.         0.         0.0212107  0.01754039 0.        ],[0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0.],10.0,random,1000,10000,10,0.6,0.1,0.9,0.1,0.9,5,0.5,1,10,,tuning_bw,
