iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.07423132818095124,0.150994,0.0025313436380975047,0.10000400000000001,0.6999863787614855,0.025122249525848,[0.0339702  0.         0.         0.         0.0340144  0.         0.         0.         0.03494245 0.         0.01957949 0.         0.01957949 0.02726772 0.         0.         0.01957949 0.         0.02850307 0.         0.         0.         0.         0.         0.         0.04559498 0.         0.7369687  0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
1000,0.034940969219516047,0.166999,0.003386340021992519,0.10400000000000001,0.6865103033060405,0.00021030893619024542,[0.02502241 0.         0.         0.02967184 0.02553555 0.         0.         0.         0.0254871  0.         0.         0.         0.         0.03483337 0.         0.         0.02761748 0.         0.01759387 0.         0.         0.         0.         0.         0.         0.03729725 0.         0.75934726 0.         0.01759387 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
2000,0.034842394456033085,0.189622,0.0035338580372975136,0.10800000000000001,0.6732805664933595,0.00016795625085471276,[0.02595462 0.         0.         0.         0.03714033 0.         0.         0.         0.03650332 0.         0.         0.         0.         0.02019809 0.         0.         0.01912697 0.         0.         0.         0.         0.01929114 0.02590693 0.         0.         0.73932582 0.         0.05231003 0.         0.02424277 0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
3000,0.033425766710828315,0.165802,0.004854499039572858,0.112,0.6603057798763129,-0.017244165247058477,[0.         0.         0.         0.02366633 0.02394396 0.         0.         0.         0.03395921 0.01780863 0.         0.         0.01835661 0.01649064 0.         0.02365974 0.02155388 0.         0.         0.         0.         0.         0.         0.         0.         0.05076272 0.         0.76979828 0.         0.         0.        ],[0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
4000,0.033293918804616636,0.176773,0.0038180688083009314,0.116,0.6475810303108847,0.02211639856999523,[0.03296435 0.02975505 0.         0.         0.03352602 0.         0.         0.         0.02871255 0.         0.         0.         0.         0.02771108 0.         0.         0.01821518 0.         0.         0.         0.         0.01982545 0.01982545 0.         0.         0.04092838 0.         0.74853648 0.         0.         0.        ],[1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
5000,0.029902616618408574,0.166999,0.003386340021992519,0.12000000000000001,0.6351014993342337,0.01194763947576539,[0.02502241 0.         0.         0.02967184 0.02553555 0.         0.         0.         0.0254871  0.         0.         0.         0.         0.03483337 0.         0.         0.02761748 0.         0.01759387 0.         0.         0.         0.         0.         0.         0.03729725 0.         0.75934726 0.         0.01759387 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
6000,0.029902616618408574,0.166999,0.003386340021992519,0.124,0.622862461340094,-0.01564080477877474,[0.02502241 0.         0.         0.02967184 0.02553555 0.         0.         0.         0.0254871  0.         0.         0.         0.         0.03483337 0.         0.         0.02761748 0.         0.01759387 0.         0.         0.         0.         0.         0.         0.03729725 0.         0.75934726 0.         0.01759387 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
7000,0.029902616618408574,0.166999,0.003386340021992519,0.128,0.6108592817893356,0.01193267964544954,[0.02502241 0.         0.         0.02967184 0.02553555 0.         0.         0.         0.0254871  0.         0.         0.         0.         0.03483337 0.         0.         0.02761748 0.         0.01759387 0.         0.         0.         0.         0.         0.         0.03729725 0.         0.75934726 0.         0.01759387 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
8000,0.029902616618408574,0.166999,0.003386340021992519,0.132,0.5990874154550098,-0.005829891276242602,[0.02502241 0.         0.         0.02967184 0.02553555 0.         0.         0.         0.0254871  0.         0.         0.         0.         0.03483337 0.         0.         0.02761748 0.         0.01759387 0.         0.         0.         0.         0.         0.         0.03729725 0.         0.75934726 0.         0.01759387 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
9000,0.029902616618408574,0.166999,0.003386340021992519,0.136,0.5875424047012152,-0.0029712522386423352,[0.02502241 0.         0.         0.02967184 0.02553555 0.         0.         0.         0.0254871  0.         0.         0.         0.         0.03483337 0.         0.         0.02761748 0.         0.01759387 0.         0.         0.         0.         0.         0.         0.03729725 0.         0.75934726 0.         0.01759387 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
10000,0.029902616618408574,0.166999,0.003386340021992519,0.14,0.576219877795131,-0.024197449265035562,[0.02502241 0.         0.         0.02967184 0.02553555 0.         0.         0.         0.0254871  0.         0.         0.         0.         0.03483337 0.         0.         0.02761748 0.         0.01759387 0.         0.         0.         0.         0.         0.         0.03729725 0.         0.75934726 0.         0.01759387 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
11000,0.029902616618408574,0.166999,0.003386340021992519,0.14400000000000002,0.5651155472515784,-0.02640445490556583,[0.02502241 0.         0.         0.02967184 0.02553555 0.         0.         0.         0.0254871  0.         0.         0.         0.         0.03483337 0.         0.         0.02761748 0.         0.01759387 0.         0.         0.         0.         0.         0.         0.03729725 0.         0.75934726 0.         0.01759387 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
