iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.06582780357837645,0.189251,0.003233265914240351,0.5,0.5,-0.006531390452213265,[0.04176858 0.         0.092678   0.         0.         0.         0.         0.         0.19797441 0.         0.         0.         0.         0.         0.         0.04895299 0.         0.         0.11620371 0.         0.         0.02161516 0.         0.         0.         0.39877448 0.02161516 0.03880236 0.         0.         0.02161516],[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
10,0.06582780357837645,0.189251,0.003233265914240351,0.5,0.5,-0.005056652882459253,[0.04176858 0.         0.092678   0.         0.         0.         0.         0.         0.19797441 0.         0.         0.         0.         0.         0.         0.04895299 0.         0.         0.11620371 0.         0.         0.02161516 0.         0.         0.         0.39877448 0.02161516 0.03880236 0.         0.         0.02161516],[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
20,0.06582780357837645,0.189251,0.003233265914240351,0.5,0.5,0.11828857698007318,[0.04176858 0.         0.092678   0.         0.         0.         0.         0.         0.19797441 0.         0.         0.         0.         0.         0.         0.04895299 0.         0.         0.11620371 0.         0.         0.02161516 0.         0.         0.         0.39877448 0.02161516 0.03880236 0.         0.         0.02161516],[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
30,0.06582780357837645,0.189251,0.003233265914240351,0.5,0.5,0.012613581546792705,[0.04176858 0.         0.092678   0.         0.         0.         0.         0.         0.19797441 0.         0.         0.         0.         0.         0.         0.04895299 0.         0.         0.11620371 0.         0.         0.02161516 0.         0.         0.         0.39877448 0.02161516 0.03880236 0.         0.         0.02161516],[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
40,0.06582780357837645,0.189251,0.003233265914240351,0.5,0.5,-0.035996983517154614,[0.04176858 0.         0.092678   0.         0.         0.         0.         0.         0.19797441 0.         0.         0.         0.         0.         0.         0.04895299 0.         0.         0.11620371 0.         0.         0.02161516 0.         0.         0.         0.39877448 0.02161516 0.03880236 0.         0.         0.02161516],[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
50,0.06582780357837645,0.189251,0.003233265914240351,0.5,0.5,0.03414691708707215,[0.04176858 0.         0.092678   0.         0.         0.         0.         0.         0.19797441 0.         0.         0.         0.         0.         0.         0.04895299 0.         0.         0.11620371 0.         0.         0.02161516 0.         0.         0.         0.39877448 0.02161516 0.03880236 0.         0.         0.02161516],[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
60,0.05626266401476016,0.168097,0.0036351025942832397,0.5,0.5,-0.008797877670181564,[0.         0.05880649 0.08271254 0.         0.         0.         0.         0.         0.         0.         0.08546795 0.         0.         0.         0.         0.         0.         0.04516052 0.0748043  0.         0.01801763 0.         0.         0.02452475 0.         0.13388484 0.         0.43998108 0.         0.         0.03663989],[0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
70,0.05626266401476016,0.168097,0.0036351025942832397,0.5,0.5,0.0832836290909712,[0.         0.05880649 0.08271254 0.         0.         0.         0.         0.         0.         0.         0.08546795 0.         0.         0.         0.         0.         0.         0.04516052 0.0748043  0.         0.01801763 0.         0.         0.02452475 0.         0.13388484 0.         0.43998108 0.         0.         0.03663989],[0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
80,0.05626266401476016,0.168097,0.0036351025942832397,0.5,0.5,0.05445851775298052,[0.         0.05880649 0.08271254 0.         0.         0.         0.         0.         0.         0.         0.08546795 0.         0.         0.         0.         0.         0.         0.04516052 0.0748043  0.         0.01801763 0.         0.         0.02452475 0.         0.13388484 0.         0.43998108 0.         0.         0.03663989],[0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
90,0.05626266401476016,0.168097,0.0036351025942832397,0.5,0.5,-0.006162848537924139,[0.         0.05880649 0.08271254 0.         0.         0.         0.         0.         0.         0.         0.08546795 0.         0.         0.         0.         0.         0.         0.04516052 0.0748043  0.         0.01801763 0.         0.         0.02452475 0.         0.13388484 0.         0.43998108 0.         0.         0.03663989],[0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
