iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
1,0.17271986555568486,0.003959734826498367,0.5,0.148423630637798,[0.         0.         0.         0.03774969 0.         0.         0.         0.         0.01481325 0.05444822 0.07272867 0.         0.         0.         0.         0.         0.04700757 0.0546715  0.         0.05978608 0.         0.         0.         0.07250765 0.         0.29584383 0.         0.29044354 0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
1000,0.13581543542095026,0.005458061584627093,0.5,0.16812424345682825,[0.         0.         0.         0.         0.24830391 0.         0.04290424 0.         0.         0.         0.         0.         0.         0.         0.05540893 0.         0.         0.         0.02493194 0.02654886 0.0179609  0.         0.05769564 0.         0.         0.1138434  0.         0.29299866 0.         0.         0.11940352],[0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
2000,0.13581543542095026,0.005458061584627093,0.5,0.11047718647465245,[0.         0.         0.         0.         0.24830391 0.         0.04290424 0.         0.         0.         0.         0.         0.         0.         0.05540893 0.         0.         0.         0.02493194 0.02654886 0.0179609  0.         0.05769564 0.         0.         0.1138434  0.         0.29299866 0.         0.         0.11940352],[0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
3000,0.11421759942172392,0.003821216416312465,0.5,-0.12657062650503978,[0.         0.         0.06229869 0.         0.05404592 0.         0.         0.         0.03970706 0.         0.         0.         0.039198   0.         0.         0.         0.         0.06433482 0.04397666 0.         0.         0.         0.         0.         0.         0.29149019 0.09122634 0.29777173 0.         0.01595058 0.        ],[0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
4000,0.11421759942172392,0.003821216416312465,0.5,0.29119249409367304,[0.         0.         0.06229869 0.         0.05404592 0.         0.         0.         0.03970706 0.         0.         0.         0.039198   0.         0.         0.         0.         0.06433482 0.04397666 0.         0.         0.         0.         0.         0.         0.29149019 0.09122634 0.29777173 0.         0.01595058 0.        ],[0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
5000,0.11421759942172392,0.003821216416312465,0.5,0.29473267231801753,[0.         0.         0.06229869 0.         0.05404592 0.         0.         0.         0.03970706 0.         0.         0.         0.039198   0.         0.         0.         0.         0.06433482 0.04397666 0.         0.         0.         0.         0.         0.         0.29149019 0.09122634 0.29777173 0.         0.01595058 0.        ],[0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
6000,0.11421759942172392,0.003821216416312465,0.5,-0.5100497344520999,[0.         0.         0.06229869 0.         0.05404592 0.         0.         0.         0.03970706 0.         0.         0.         0.039198   0.         0.         0.         0.         0.06433482 0.04397666 0.         0.         0.         0.         0.         0.         0.29149019 0.09122634 0.29777173 0.         0.01595058 0.        ],[0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
7000,0.11421759942172392,0.003821216416312465,0.5,-0.11321143829397189,[0.         0.         0.06229869 0.         0.05404592 0.         0.         0.         0.03970706 0.         0.         0.         0.039198   0.         0.         0.         0.         0.06433482 0.04397666 0.         0.         0.         0.         0.         0.         0.29149019 0.09122634 0.29777173 0.         0.01595058 0.        ],[0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
8000,0.11421759942172392,0.003821216416312465,0.5,0.16869982578359594,[0.         0.         0.06229869 0.         0.05404592 0.         0.         0.         0.03970706 0.         0.         0.         0.039198   0.         0.         0.         0.         0.06433482 0.04397666 0.         0.         0.         0.         0.         0.         0.29149019 0.09122634 0.29777173 0.         0.01595058 0.        ],[0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
9000,0.11026213921395277,0.003706196865518785,0.5,0.07132971531506715,[0.         0.         0.         0.         0.07729024 0.         0.         0.         0.         0.         0.         0.         0.12008861 0.         0.         0.         0.         0.         0.042678   0.         0.02086739 0.09615462 0.         0.02394404 0.         0.13449499 0.         0.41161971 0.         0.02061822 0.05224416],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.],10.0,100000,100,0.5,0.3,1,10,17,tuning_iter
