iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.08037096787723062,0.165405,0.004663064245538739,0.5,0.5,0.04154085767425474,[0.         0.         0.         0.03113889 0.         0.         0.01847893 0.         0.05223909 0.         0.         0.02719665 0.13964841 0.05241515 0.12651608 0.         0.         0.         0.01847893 0.07911328 0.         0.         0.         0.         0.         0.45477458 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
2,0.07676382121270817,0.198521,0.003627374738999269,0.5,0.5,0.0017110901661271825,[0.         0.01797521 0.         0.         0.         0.         0.         0.04498009 0.         0.         0.09186165 0.         0.         0.0267455  0.         0.         0.08197209 0.         0.         0.         0.         0.11986461 0.08120607 0.         0.         0.36168108 0.         0.12617791 0.         0.0475358  0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
3,0.07676382121270817,0.198521,0.003627374738999269,0.5,0.5,-0.02171877135304298,[0.         0.01797521 0.         0.         0.         0.         0.         0.04498009 0.         0.         0.09186165 0.         0.         0.0267455  0.         0.         0.08197209 0.         0.         0.         0.         0.11986461 0.08120607 0.         0.         0.36168108 0.         0.12617791 0.         0.0475358  0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
4,0.07676382121270817,0.198521,0.003627374738999269,0.5,0.5,0.020065440661866708,[0.         0.01797521 0.         0.         0.         0.         0.         0.04498009 0.         0.         0.09186165 0.         0.         0.0267455  0.         0.         0.08197209 0.         0.         0.         0.         0.11986461 0.08120607 0.         0.         0.36168108 0.         0.12617791 0.         0.0475358  0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
5,0.07676382121270817,0.198521,0.003627374738999269,0.5,0.5,0.028894783444370582,[0.         0.01797521 0.         0.         0.         0.         0.         0.04498009 0.         0.         0.09186165 0.         0.         0.0267455  0.         0.         0.08197209 0.         0.         0.         0.         0.11986461 0.08120607 0.         0.         0.36168108 0.         0.12617791 0.         0.0475358  0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
6,0.07676382121270817,0.198521,0.003627374738999269,0.5,0.5,-0.03497306884689159,[0.         0.01797521 0.         0.         0.         0.         0.         0.04498009 0.         0.         0.09186165 0.         0.         0.0267455  0.         0.         0.08197209 0.         0.         0.         0.         0.11986461 0.08120607 0.         0.         0.36168108 0.         0.12617791 0.         0.0475358  0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
7,0.07676382121270817,0.198521,0.003627374738999269,0.5,0.5,0.023219445288294446,[0.         0.01797521 0.         0.         0.         0.         0.         0.04498009 0.         0.         0.09186165 0.         0.         0.0267455  0.         0.         0.08197209 0.         0.         0.         0.         0.11986461 0.08120607 0.         0.         0.36168108 0.         0.12617791 0.         0.0475358  0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
8,0.07676382121270817,0.198521,0.003627374738999269,0.5,0.5,0.10567689387664875,[0.         0.01797521 0.         0.         0.         0.         0.         0.04498009 0.         0.         0.09186165 0.         0.         0.0267455  0.         0.         0.08197209 0.         0.         0.         0.         0.11986461 0.08120607 0.         0.         0.36168108 0.         0.12617791 0.         0.0475358  0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
9,0.07676382121270817,0.198521,0.003627374738999269,0.5,0.5,-0.07379135207996308,[0.         0.01797521 0.         0.         0.         0.         0.         0.04498009 0.         0.         0.09186165 0.         0.         0.0267455  0.         0.         0.08197209 0.         0.         0.         0.         0.11986461 0.08120607 0.         0.         0.36168108 0.         0.12617791 0.         0.0475358  0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
10,0.07676382121270817,0.198521,0.003627374738999269,0.5,0.5,-0.01486788007460471,[0.         0.01797521 0.         0.         0.         0.         0.         0.04498009 0.         0.         0.09186165 0.         0.         0.0267455  0.         0.         0.08197209 0.         0.         0.         0.         0.11986461 0.08120607 0.         0.         0.36168108 0.         0.12617791 0.         0.0475358  0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
11,0.07676382121270817,0.198521,0.003627374738999269,0.5,0.5,0.020837902335020433,[0.         0.01797521 0.         0.         0.         0.         0.         0.04498009 0.         0.         0.09186165 0.         0.         0.0267455  0.         0.         0.08197209 0.         0.         0.         0.         0.11986461 0.08120607 0.         0.         0.36168108 0.         0.12617791 0.         0.0475358  0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
