iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.010273259634419251,0.02532,0.004773480731161496,0.01098,0.985461267344949,-285.2062484180788,[0.         0.         0.         0.         0.01078658 0.         0.         0.0107862  0.01078658 0.         0.01078658 0.         0.         0.         0.         0.         0.         0.         0.0107844  0.01078682 0.         0.         0.         0.01028878 0.         0.90391825 0.         0.01028878 0.         0.         0.01078702],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,random,1000,10000,10,0.6,0.01,0.99,0.01,0.99,300,0.5,1,10,,tuning_local_search,10
10,0.010273259634419251,0.02532,0.004773480731161496,0.019799999999999998,0.9455376850989528,569.2833453087443,[0.         0.         0.         0.         0.01078658 0.         0.         0.0107862  0.01078658 0.         0.01078658 0.         0.         0.         0.         0.         0.         0.         0.0107844  0.01078682 0.         0.         0.         0.01028878 0.         0.90391825 0.         0.01028878 0.         0.         0.01078702],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,random,1000,10000,10,0.6,0.01,0.99,0.01,0.99,300,0.5,1,10,,tuning_local_search,10
20,0.010273259634419251,0.02532,0.004773480731161496,0.0296,0.9030722363053398,-496.09685369949784,[0.         0.         0.         0.         0.01078658 0.         0.         0.0107862  0.01078658 0.         0.01078658 0.         0.         0.         0.         0.         0.         0.         0.0107844  0.01078682 0.         0.         0.         0.01028878 0.         0.90391825 0.         0.01028878 0.         0.         0.01078702],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,random,1000,10000,10,0.6,0.01,0.99,0.01,0.99,300,0.5,1,10,,tuning_local_search,10
30,0.010273259634419251,0.02532,0.004773480731161496,0.0394,0.8625139715083692,282.9592672117597,[0.         0.         0.         0.         0.01078658 0.         0.         0.0107862  0.01078658 0.         0.01078658 0.         0.         0.         0.         0.         0.         0.         0.0107844  0.01078682 0.         0.         0.         0.01028878 0.         0.90391825 0.         0.01028878 0.         0.         0.01078702],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,random,1000,10000,10,0.6,0.01,0.99,0.01,0.99,300,0.5,1,10,,tuning_local_search,10
40,0.010273259634419251,0.02532,0.004773480731161496,0.0492,0.8237772363490177,297.4778229780769,[0.         0.         0.         0.         0.01078658 0.         0.         0.0107862  0.01078658 0.         0.01078658 0.         0.         0.         0.         0.         0.         0.         0.0107844  0.01078682 0.         0.         0.         0.01028878 0.         0.90391825 0.         0.01028878 0.         0.         0.01078702],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,random,1000,10000,10,0.6,0.01,0.99,0.01,0.99,300,0.5,1,10,,tuning_local_search,10
50,0.010273259634419251,0.02532,0.004773480731161496,0.059000000000000004,0.7867802233279425,63.21644533725818,[0.         0.         0.         0.         0.01078658 0.         0.         0.0107862  0.01078658 0.         0.01078658 0.         0.         0.         0.         0.         0.         0.         0.0107844  0.01078682 0.         0.         0.         0.01028878 0.         0.90391825 0.         0.01028878 0.         0.         0.01078702],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,random,1000,10000,10,0.6,0.01,0.99,0.01,0.99,300,0.5,1,10,,tuning_local_search,10
60,0.009675514528346738,0.029523,0.010171970943306526,0.0688,0.7514447990375149,-198.71483268741682,[0.         0.         0.         0.         0.01024757 0.0102469  0.         0.0102469  0.         0.01025056 0.         0.         0.01021546 0.         0.         0.         0.         0.         0.01013471 0.         0.01024739 0.         0.         0.0102469  0.         0.90486295 0.         0.01330067 0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,random,1000,10000,10,0.6,0.01,0.99,0.01,0.99,300,0.5,1,10,,tuning_local_search,10
70,0.009675514528346738,0.029523,0.010171970943306526,0.07859999999999999,0.7176963391531108,-201.1032205848955,[0.         0.         0.         0.         0.01024757 0.0102469  0.         0.0102469  0.         0.01025056 0.         0.         0.01021546 0.         0.         0.         0.         0.         0.01013471 0.         0.01024739 0.         0.         0.0102469  0.         0.90486295 0.         0.01330067 0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,random,1000,10000,10,0.6,0.01,0.99,0.01,0.99,300,0.5,1,10,,tuning_local_search,10
80,0.00963150452833161,0.029467,0.010203990943336782,0.08839999999999999,0.6854635708351771,-152.67114112065357,[0.         0.01031439 0.         0.         0.90747947 0.01028379 0.         0.         0.01030921 0.         0.0103473  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01027886 0.         0.01028277 0.         0.         0.01014648 0.01027886 0.         0.01027886 0.        ],[0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0.],10.0,random,1000,10000,10,0.6,0.01,0.99,0.01,0.99,300,0.5,1,10,,tuning_local_search,10
90,0.009558424719167024,0.023795,0.004678150561665954,0.0982,0.6546784222092479,477.1830135285198,[0.01036852 0.         0.         0.         0.90677334 0.         0.         0.         0.         0.01036965 0.         0.         0.         0.         0.         0.         0.         0.01032126 0.         0.         0.         0.         0.         0.         0.         0.01032126 0.01036962 0.01036852 0.01036962 0.01036971 0.01036852],[1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],10.0,random,1000,10000,10,0.6,0.01,0.99,0.01,0.99,300,0.5,1,10,,tuning_local_search,10
