iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.08126550749354093,0.166461,0.003929985012918139,0.5,0.5,0.03282533693397377,[0.0150105  0.         0.         0.17630301 0.08342748 0.04867055 0.         0.         0.03846994 0.         0.         0.         0.         0.25586858 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.03899663 0.         0.25381293 0.         0.07542086 0.         0.01401952 0.        ],[1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
10,0.08126550749354093,0.166461,0.003929985012918139,0.5,0.5,-0.039524446030847156,[0.0150105  0.         0.         0.17630301 0.08342748 0.04867055 0.         0.         0.03846994 0.         0.         0.         0.         0.25586858 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.03899663 0.         0.25381293 0.         0.07542086 0.         0.01401952 0.        ],[1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
20,0.08126550749354093,0.166461,0.003929985012918139,0.5,0.5,-0.013963708132901662,[0.0150105  0.         0.         0.17630301 0.08342748 0.04867055 0.         0.         0.03846994 0.         0.         0.         0.         0.25586858 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.03899663 0.         0.25381293 0.         0.07542086 0.         0.01401952 0.        ],[1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
30,0.08126550749354093,0.166461,0.003929985012918139,0.5,0.5,0.005048622828612537,[0.0150105  0.         0.         0.17630301 0.08342748 0.04867055 0.         0.         0.03846994 0.         0.         0.         0.         0.25586858 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.03899663 0.         0.25381293 0.         0.07542086 0.         0.01401952 0.        ],[1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
40,0.08126550749354093,0.166461,0.003929985012918139,0.5,0.5,0.023438864802460498,[0.0150105  0.         0.         0.17630301 0.08342748 0.04867055 0.         0.         0.03846994 0.         0.         0.         0.         0.25586858 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.03899663 0.         0.25381293 0.         0.07542086 0.         0.01401952 0.        ],[1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
50,0.07825373963091652,0.183821,0.0038569504547588556,0.5,0.5,0.005792469154921103,[0.03672684 0.         0.         0.         0.16142094 0.13315853 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.15456126 0.         0.         0.01552575 0.         0.         0.         0.06185193 0.         0.03169197 0.0270808  0.18671076 0.         0.19127122 0.        ],[1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
60,0.07825373963091652,0.183821,0.0038569504547588556,0.5,0.5,-0.0829678770308422,[0.03672684 0.         0.         0.         0.16142094 0.13315853 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.15456126 0.         0.         0.01552575 0.         0.         0.         0.06185193 0.         0.03169197 0.0270808  0.18671076 0.         0.19127122 0.        ],[1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
70,0.07825373963091652,0.183821,0.0038569504547588556,0.5,0.5,-0.0642018762421254,[0.03672684 0.         0.         0.         0.16142094 0.13315853 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.15456126 0.         0.         0.01552575 0.         0.         0.         0.06185193 0.         0.03169197 0.0270808  0.18671076 0.         0.19127122 0.        ],[1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
80,0.07825373963091652,0.183821,0.0038569504547588556,0.5,0.5,0.03169863495892449,[0.03672684 0.         0.         0.         0.16142094 0.13315853 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.15456126 0.         0.         0.01552575 0.         0.         0.         0.06185193 0.         0.03169197 0.0270808  0.18671076 0.         0.19127122 0.        ],[1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
90,0.07825373963091652,0.183821,0.0038569504547588556,0.5,0.5,-0.01153073818217927,[0.03672684 0.         0.         0.         0.16142094 0.13315853 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.15456126 0.         0.         0.01552575 0.         0.         0.         0.06185193 0.         0.03169197 0.0270808  0.18671076 0.         0.19127122 0.        ],[1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0.],10.0,best,1000,100,10,0.3,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
