iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.09736260746492575,0.1979,0.0031747850701484793,0.5,0.5,0.8912758649145559,[0.03342285 0.         0.         0.         0.         0.         0.05530147 0.         0.         0.         0.         0.         0.         0.0251266  0.04138359 0.01279797 0.         0.         0.         0.03665508 0.04911429 0.         0.01309583 0.         0.         0.7188185  0.         0.         0.         0.         0.01428382],[1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
10,0.05713149510346108,0.117869,0.0036060097930778524,0.5,0.5,3.7565547191106043,[0.         0.         0.         0.         0.06709348 0.         0.01365711 0.         0.74779073 0.01355723 0.         0.         0.         0.         0.         0.02299784 0.03751141 0.03273943 0.         0.         0.01267955 0.         0.         0.01371417 0.03825905 0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
20,0.05713149510346108,0.117869,0.0036060097930778524,0.5,0.5,-1.648011454775036,[0.         0.         0.         0.         0.06709348 0.         0.01365711 0.         0.74779073 0.01355723 0.         0.         0.         0.         0.         0.02299784 0.03751141 0.03273943 0.         0.         0.01267955 0.         0.         0.01371417 0.03825905 0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
30,0.05713149510346108,0.117869,0.0036060097930778524,0.5,0.5,1.023022394771377,[0.         0.         0.         0.         0.06709348 0.         0.01365711 0.         0.74779073 0.01355723 0.         0.         0.         0.         0.         0.02299784 0.03751141 0.03273943 0.         0.         0.01267955 0.         0.         0.01371417 0.03825905 0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
40,0.05713149510346108,0.117869,0.0036060097930778524,0.5,0.5,-3.151607428065338,[0.         0.         0.         0.         0.06709348 0.         0.01365711 0.         0.74779073 0.01355723 0.         0.         0.         0.         0.         0.02299784 0.03751141 0.03273943 0.         0.         0.01267955 0.         0.         0.01371417 0.03825905 0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
50,0.049381765783877,0.103972,0.0052084684322459985,0.5,0.5,3.547768948088614,[0.03986934 0.         0.01349184 0.         0.75376399 0.         0.0346145  0.         0.         0.01232762 0.02691487 0.         0.04755018 0.         0.         0.         0.         0.         0.02202926 0.03707981 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01235858],[1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
60,0.049381765783877,0.103972,0.0052084684322459985,0.5,0.5,0.811907771907432,[0.03986934 0.         0.01349184 0.         0.75376399 0.         0.0346145  0.         0.         0.01232762 0.02691487 0.         0.04755018 0.         0.         0.         0.         0.         0.02202926 0.03707981 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01235858],[1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
70,0.049381765783877,0.103972,0.0052084684322459985,0.5,0.5,2.328624671914777,[0.03986934 0.         0.01349184 0.         0.75376399 0.         0.0346145  0.         0.         0.01232762 0.02691487 0.         0.04755018 0.         0.         0.         0.         0.         0.02202926 0.03707981 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01235858],[1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
80,0.03296054339958386,0.072575,0.006653913200832284,0.5,0.5,3.4580160439431635,[0.         0.03924225 0.         0.         0.04973425 0.         0.01789995 0.         0.79173631 0.         0.01236555 0.         0.         0.         0.         0.01656591 0.         0.         0.         0.         0.         0.01221883 0.01475993 0.         0.         0.         0.         0.         0.01218091 0.         0.03329613],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
90,0.03296054339958386,0.072575,0.006653913200832284,0.5,0.5,3.085007769120783,[0.         0.03924225 0.         0.         0.04973425 0.         0.01789995 0.         0.79173631 0.         0.01236555 0.         0.         0.         0.         0.01656591 0.         0.         0.         0.         0.         0.01221883 0.01475993 0.         0.         0.         0.         0.         0.01218091 0.         0.03329613],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
100,0.03296054339958386,0.072575,0.006653913200832284,0.5,0.5,-0.44102673122005076,[0.         0.03924225 0.         0.         0.04973425 0.         0.01789995 0.         0.79173631 0.         0.01236555 0.         0.         0.         0.         0.01656591 0.         0.         0.         0.         0.         0.01221883 0.01475993 0.         0.         0.         0.         0.         0.01218091 0.         0.03329613],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
110,0.03296054339958386,0.072575,0.006653913200832284,0.5,0.5,0.25773079869490095,[0.         0.03924225 0.         0.         0.04973425 0.         0.01789995 0.         0.79173631 0.         0.01236555 0.         0.         0.         0.         0.01656591 0.         0.         0.         0.         0.         0.01221883 0.01475993 0.         0.         0.         0.         0.         0.01218091 0.         0.03329613],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
120,0.03296054339958386,0.072575,0.006653913200832284,0.5,0.5,-0.5078812099242584,[0.         0.03924225 0.         0.         0.04973425 0.         0.01789995 0.         0.79173631 0.         0.01236555 0.         0.         0.         0.         0.01656591 0.         0.         0.         0.         0.         0.01221883 0.01475993 0.         0.         0.         0.         0.         0.01218091 0.         0.03329613],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
130,0.03296054339958386,0.072575,0.006653913200832284,0.5,0.5,-0.31855593964279366,[0.         0.03924225 0.         0.         0.04973425 0.         0.01789995 0.         0.79173631 0.         0.01236555 0.         0.         0.         0.         0.01656591 0.         0.         0.         0.         0.         0.01221883 0.01475993 0.         0.         0.         0.         0.         0.01218091 0.         0.03329613],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
140,0.03296054339958386,0.072575,0.006653913200832284,0.5,0.5,2.4035034797161097,[0.         0.03924225 0.         0.         0.04973425 0.         0.01789995 0.         0.79173631 0.         0.01236555 0.         0.         0.         0.         0.01656591 0.         0.         0.         0.         0.         0.01221883 0.01475993 0.         0.         0.         0.         0.         0.01218091 0.         0.03329613],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
150,0.03296054339958386,0.072575,0.006653913200832284,0.5,0.5,3.148109882438929,[0.         0.03924225 0.         0.         0.04973425 0.         0.01789995 0.         0.79173631 0.         0.01236555 0.         0.         0.         0.         0.01656591 0.         0.         0.         0.         0.         0.01221883 0.01475993 0.         0.         0.         0.         0.         0.01218091 0.         0.03329613],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
160,0.03296054339958386,0.072575,0.006653913200832284,0.5,0.5,1.764847150358678,[0.         0.03924225 0.         0.         0.04973425 0.         0.01789995 0.         0.79173631 0.         0.01236555 0.         0.         0.         0.         0.01656591 0.         0.         0.         0.         0.         0.01221883 0.01475993 0.         0.         0.         0.         0.         0.01218091 0.         0.03329613],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1.],10.0,random,1000,10000,10,0.8,0.5,0.5,0.5,0.5,5,0.5,1,10,,tuning_mem,
