iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.0746107406032457,0.154545,0.005323518793508596,0.5,0.5,0.04836862446635255,[0.04222018 0.         0.         0.         0.01850583 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08307401 0.08127641 0.         0.01850583 0.073037   0.         0.         0.0651471  0.         0.         0.04856581 0.5059957  0.         0.         0.         0.         0.06367213],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
10,0.0746107406032457,0.154545,0.005323518793508596,0.5,0.5,0.062335678652213414,[0.04222018 0.         0.         0.         0.01850583 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08307401 0.08127641 0.         0.01850583 0.073037   0.         0.         0.0651471  0.         0.         0.04856581 0.5059957  0.         0.         0.         0.         0.06367213],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
20,0.0634901274480346,0.193162,0.004081539232153164,0.5,0.5,0.026478543023940135,[0.07901023 0.         0.         0.         0.47837934 0.         0.01813976 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01813976 0.         0.         0.         0.02786872 0.         0.         0.         0.07482474 0.03594333 0.         0.08480875 0.06811728 0.1147681  0.        ],[1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
30,0.0634901274480346,0.193162,0.004081539232153164,0.5,0.5,0.08989894433873791,[0.07901023 0.         0.         0.         0.47837934 0.         0.01813976 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01813976 0.         0.         0.         0.02786872 0.         0.         0.         0.07482474 0.03594333 0.         0.08480875 0.06811728 0.1147681  0.        ],[1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
40,0.06321290021566205,0.189183,0.0028783056206102345,0.5,0.5,-0.09048390034073298,[0.         0.         0.017858   0.         0.         0.02411005 0.         0.         0.         0.04652759 0.         0.         0.04080631 0.06502128 0.         0.         0.         0.         0.         0.1097454  0.         0.         0.         0.         0.         0.46072143 0.         0.1172691  0.017858   0.         0.10008283],[0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
50,0.05880739395952519,0.188665,0.004229671781164114,0.5,0.5,-0.038059721335641526,[0.         0.         0.0590497  0.         0.42855117 0.         0.         0.05493157 0.02673108 0.         0.         0.04063209 0.02708729 0.         0.         0.         0.         0.         0.         0.         0.07230852 0.         0.         0.         0.         0.19602729 0.         0.         0.         0.01790732 0.07677398],[0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
60,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,0.03664281420434775,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
70,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,-0.03880905808612119,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
80,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,-0.01520369460874235,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
90,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,0.0706554774796334,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
100,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,0.008782522127868548,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
110,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,0.07684443917842529,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
120,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,0.010397052672773677,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
130,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,0.09774799536856026,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
140,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,0.009031446092651503,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
150,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,-0.047856383780713815,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
160,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,-0.035105080444658994,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
170,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,-0.004052664713149046,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
180,0.03982069731034748,0.185768,0.002797204115870932,0.5,0.5,0.06908016274572161,[0.         0.         0.         0.         0.62473215 0.         0.         0.05633962 0.         0.         0.02017081 0.         0.         0.03391399 0.03008715 0.08854702 0.02745222 0.         0.         0.         0.         0.02017081 0.         0.         0.         0.07841543 0.         0.02017081 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.8,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
