iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
1,0.14492449008092592,0.005315117903398892,0.5,-1.4049884599783156,[0.01334322 0.         0.         0.         0.         0.         0.         0.         0.82857169 0.01969288 0.         0.         0.         0.         0.02196984 0.01283689 0.         0.         0.02623576 0.02336387 0.         0.         0.         0.         0.         0.01745088 0.02533636 0.         0.         0.01119861 0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0.],10.0,1000,30,0.8,10,1,10,78,tuning_mem_consider
10,0.08884612281230926,0.004192741356258675,0.5,-0.7779139096603545,[0.01251216 0.         0.         0.81850421 0.         0.         0.         0.         0.         0.01994878 0.03025801 0.         0.         0.         0.         0.02780632 0.02018883 0.         0.0133549  0.         0.         0.         0.         0.         0.         0.01324111 0.         0.         0.03054648 0.         0.01363918],[1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1.],10.0,1000,30,0.8,10,1,10,78,tuning_mem_consider
20,0.06674767696502575,0.00464211516248823,0.5,3.2896598597149347,[0.         0.         0.         0.         0.         0.         0.01117795 0.         0.01675899 0.01555544 0.01174581 0.         0.         0.         0.         0.         0.         0.01201091 0.01396783 0.87147105 0.01729779 0.         0.         0.         0.         0.0180872  0.         0.         0.         0.01192702 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,1000,30,0.8,10,1,10,78,tuning_mem_consider
30,0.06674767696502575,0.00464211516248823,0.5,-6.2105401703977545,[0.         0.         0.         0.         0.         0.         0.01117795 0.         0.01675899 0.01555544 0.01174581 0.         0.         0.         0.         0.         0.         0.01201091 0.01396783 0.87147105 0.01729779 0.         0.         0.         0.         0.0180872  0.         0.         0.         0.01192702 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,1000,30,0.8,10,1,10,78,tuning_mem_consider
40,0.06674767696502575,0.00464211516248823,0.5,-12.95766657296449,[0.         0.         0.         0.         0.         0.         0.01117795 0.         0.01675899 0.01555544 0.01174581 0.         0.         0.         0.         0.         0.         0.01201091 0.01396783 0.87147105 0.01729779 0.         0.         0.         0.         0.0180872  0.         0.         0.         0.01192702 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,1000,30,0.8,10,1,10,78,tuning_mem_consider
50,0.06674767696502575,0.00464211516248823,0.5,-18.850738918890364,[0.         0.         0.         0.         0.         0.         0.01117795 0.         0.01675899 0.01555544 0.01174581 0.         0.         0.         0.         0.         0.         0.01201091 0.01396783 0.87147105 0.01729779 0.         0.         0.         0.         0.0180872  0.         0.         0.         0.01192702 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,1000,30,0.8,10,1,10,78,tuning_mem_consider
60,0.06674767696502575,0.00464211516248823,0.5,-12.054491174123212,[0.         0.         0.         0.         0.         0.         0.01117795 0.         0.01675899 0.01555544 0.01174581 0.         0.         0.         0.         0.         0.         0.01201091 0.01396783 0.87147105 0.01729779 0.         0.         0.         0.         0.0180872  0.         0.         0.         0.01192702 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,1000,30,0.8,10,1,10,78,tuning_mem_consider
70,0.06674767696502575,0.00464211516248823,0.5,6.085023729844364,[0.         0.         0.         0.         0.         0.         0.01117795 0.         0.01675899 0.01555544 0.01174581 0.         0.         0.         0.         0.         0.         0.01201091 0.01396783 0.87147105 0.01729779 0.         0.         0.         0.         0.0180872  0.         0.         0.         0.01192702 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,1000,30,0.8,10,1,10,78,tuning_mem_consider
80,0.06674767696502575,0.00464211516248823,0.5,-7.907302461462966,[0.         0.         0.         0.         0.         0.         0.01117795 0.         0.01675899 0.01555544 0.01174581 0.         0.         0.         0.         0.         0.         0.01201091 0.01396783 0.87147105 0.01729779 0.         0.         0.         0.         0.0180872  0.         0.         0.         0.01192702 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,1000,30,0.8,10,1,10,78,tuning_mem_consider
90,0.06674767696502575,0.00464211516248823,0.5,-9.282536314200268,[0.         0.         0.         0.         0.         0.         0.01117795 0.         0.01675899 0.01555544 0.01174581 0.         0.         0.         0.         0.         0.         0.01201091 0.01396783 0.87147105 0.01729779 0.         0.         0.         0.         0.0180872  0.         0.         0.         0.01192702 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,1000,30,0.8,10,1,10,78,tuning_mem_consider
