iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
1,0.09348565838129264,0.003147789297415686,0.5,10.47365250539152,[0.02396607 0.         0.         0.01155304 0.         0.         0.         0.         0.         0.         0.         0.         0.0146983  0.02159245 0.         0.02285132 0.         0.01713654 0.         0.         0.01239437 0.         0.         0.02526579 0.         0.         0.83320309 0.         0.         0.         0.01733903],[1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1.],10.0,1000,1000,0.5,10,1,10,47,tuning_mem_size
10,0.08493005451349923,0.004194169276285187,0.5,20.096150079065747,[0.02522164 0.         0.         0.82418259 0.         0.         0.         0.         0.         0.         0.01665779 0.         0.01550223 0.         0.         0.02416871 0.         0.         0.01985076 0.         0.02747362 0.         0.         0.         0.         0.0195001  0.         0.01365062 0.         0.01379194 0.        ],[1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,1000,1000,0.5,10,1,10,47,tuning_mem_size
20,0.08493005451349923,0.004194169276285187,0.5,-10.875020099129811,[0.02522164 0.         0.         0.82418259 0.         0.         0.         0.         0.         0.         0.01665779 0.         0.01550223 0.         0.         0.02416871 0.         0.         0.01985076 0.         0.02747362 0.         0.         0.         0.         0.0195001  0.         0.01365062 0.         0.01379194 0.        ],[1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,1000,1000,0.5,10,1,10,47,tuning_mem_size
30,0.04575611854835846,0.009588176353196622,0.5,0.824236297202044,[0.02227734 0.         0.         0.         0.82438237 0.         0.         0.         0.02827101 0.01349888 0.0177802  0.         0.01121085 0.01798978 0.         0.         0.         0.         0.         0.         0.         0.02024998 0.         0.         0.         0.02573166 0.         0.01860792 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,1000,0.5,10,1,10,47,tuning_mem_size
40,0.04575611854835846,0.009588176353196622,0.5,-19.716340583840232,[0.02227734 0.         0.         0.         0.82438237 0.         0.         0.         0.02827101 0.01349888 0.0177802  0.         0.01121085 0.01798978 0.         0.         0.         0.         0.         0.         0.         0.02024998 0.         0.         0.         0.02573166 0.         0.01860792 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,1000,0.5,10,1,10,47,tuning_mem_size
50,0.04575611854835846,0.009588176353196622,0.5,13.154038136318363,[0.02227734 0.         0.         0.         0.82438237 0.         0.         0.         0.02827101 0.01349888 0.0177802  0.         0.01121085 0.01798978 0.         0.         0.         0.         0.         0.         0.         0.02024998 0.         0.         0.         0.02573166 0.         0.01860792 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,1000,0.5,10,1,10,47,tuning_mem_size
60,0.04575611854835846,0.009588176353196622,0.5,-19.030185804440126,[0.02227734 0.         0.         0.         0.82438237 0.         0.         0.         0.02827101 0.01349888 0.0177802  0.         0.01121085 0.01798978 0.         0.         0.         0.         0.         0.         0.         0.02024998 0.         0.         0.         0.02573166 0.         0.01860792 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,1000,0.5,10,1,10,47,tuning_mem_size
70,0.04575611854835846,0.009588176353196622,0.5,-7.1067467485089955,[0.02227734 0.         0.         0.         0.82438237 0.         0.         0.         0.02827101 0.01349888 0.0177802  0.         0.01121085 0.01798978 0.         0.         0.         0.         0.         0.         0.         0.02024998 0.         0.         0.         0.02573166 0.         0.01860792 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,1000,0.5,10,1,10,47,tuning_mem_size
80,0.04575611854835846,0.009588176353196622,0.5,7.596506220542958,[0.02227734 0.         0.         0.         0.82438237 0.         0.         0.         0.02827101 0.01349888 0.0177802  0.         0.01121085 0.01798978 0.         0.         0.         0.         0.         0.         0.         0.02024998 0.         0.         0.         0.02573166 0.         0.01860792 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,1000,0.5,10,1,10,47,tuning_mem_size
90,0.04575611854835846,0.009588176353196622,0.5,-5.025602992732629,[0.02227734 0.         0.         0.         0.82438237 0.         0.         0.         0.02827101 0.01349888 0.0177802  0.         0.01121085 0.01798978 0.         0.         0.         0.         0.         0.         0.         0.02024998 0.         0.         0.         0.02573166 0.         0.01860792 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,1000,0.5,10,1,10,47,tuning_mem_size
