iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.08035519887217651,0.193731,0.003181537059640118,0.5004,0.5,-0.057412615199142494,[0.         0.         0.         0.         0.04219295 0.         0.02332808 0.         0.17903892 0.02209213 0.         0.         0.04334358 0.         0.         0.03377095 0.         0.         0.02907145 0.         0.         0.         0.         0.         0.02453295 0.24971351 0.         0.3529155  0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par
10,0.07809507888131385,0.18959,0.004147286114547347,0.504,0.5,-0.06887855003527914,[0.         0.         0.         0.         0.06642703 0.         0.         0.         0.33821568 0.         0.         0.         0.02355661 0.04645147 0.         0.04412855 0.         0.         0.01806582 0.01710106 0.         0.         0.         0.         0.02612421 0.36367087 0.         0.0562587  0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par
20,0.07206369923881917,0.183296,0.003892992736025929,0.508,0.5,0.028776930555889216,[0.         0.         0.         0.         0.06039187 0.         0.         0.         0.18694894 0.         0.02430674 0.         0.04504498 0.05968709 0.         0.05192649 0.         0.         0.         0.02192212 0.         0.         0.         0.         0.         0.44174345 0.         0.08583707 0.         0.         0.02219124],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par
30,0.06283460298887614,0.18136,0.004960104551038567,0.512,0.5,0.006594238512017291,[0.         0.         0.         0.         0.11117735 0.         0.         0.         0.351756   0.         0.         0.         0.02419517 0.         0.02049745 0.02071031 0.         0.         0.01847925 0.02722752 0.         0.         0.         0.         0.02506519 0.34734489 0.         0.05354688 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par
40,0.06283460298887614,0.18136,0.004960104551038567,0.516,0.5,0.020114103199605913,[0.         0.         0.         0.         0.11117735 0.         0.         0.         0.351756   0.         0.         0.         0.02419517 0.         0.02049745 0.02071031 0.         0.         0.01847925 0.02722752 0.         0.         0.         0.         0.02506519 0.34734489 0.         0.05354688 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par
50,0.06283460298887614,0.18136,0.004960104551038567,0.52,0.5,-0.08430926436535949,[0.         0.         0.         0.         0.11117735 0.         0.         0.         0.351756   0.         0.         0.         0.02419517 0.         0.02049745 0.02071031 0.         0.         0.01847925 0.02722752 0.         0.         0.         0.         0.02506519 0.34734489 0.         0.05354688 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par
60,0.06283460298887614,0.18136,0.004960104551038567,0.524,0.5,0.005856374076125825,[0.         0.         0.         0.         0.11117735 0.         0.         0.         0.351756   0.         0.         0.         0.02419517 0.         0.02049745 0.02071031 0.         0.         0.01847925 0.02722752 0.         0.         0.         0.         0.02506519 0.34734489 0.         0.05354688 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par
70,0.06283460298887614,0.18136,0.004960104551038567,0.528,0.5,-0.022532804639062962,[0.         0.         0.         0.         0.11117735 0.         0.         0.         0.351756   0.         0.         0.         0.02419517 0.         0.02049745 0.02071031 0.         0.         0.01847925 0.02722752 0.         0.         0.         0.         0.02506519 0.34734489 0.         0.05354688 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par
80,0.06283460298887614,0.18136,0.004960104551038567,0.532,0.5,-0.00974561919441642,[0.         0.         0.         0.         0.11117735 0.         0.         0.         0.351756   0.         0.         0.         0.02419517 0.         0.02049745 0.02071031 0.         0.         0.01847925 0.02722752 0.         0.         0.         0.         0.02506519 0.34734489 0.         0.05354688 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par
90,0.06262639854247071,0.193731,0.003181537059640118,0.536,0.5,0.03431934540844702,[0.         0.         0.         0.         0.04219295 0.         0.02332808 0.         0.17903892 0.02209213 0.         0.         0.04334358 0.         0.         0.03377095 0.         0.         0.02907145 0.         0.         0.         0.         0.         0.02453295 0.24971351 0.         0.3529155  0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par
