iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.07556390884761846,0.156091,0.004963182304763083,0.5004,0.5,-0.0036054451114691435,[0.01834366 0.01834366 0.         0.         0.         0.         0.02369904 0.         0.05484567 0.         0.03394159 0.         0.         0.         0.06848344 0.         0.         0.         0.         0.         0.         0.0257545  0.         0.         0.01834366 0.         0.         0.70949265 0.         0.02875215 0.        ],[1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
10,0.07036389119109626,0.198779,0.004112846367579018,0.504,0.5,0.0048594208183853176,[0.         0.03985812 0.         0.         0.01671739 0.         0.05034334 0.         0.         0.         0.05052066 0.         0.         0.         0.         0.         0.         0.         0.02142489 0.         0.         0.         0.03278032 0.         0.         0.09193746 0.         0.64802512 0.03167529 0.01671739 0.        ],[0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 1. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
20,0.04597774046283726,0.197847,0.004036586260872014,0.508,0.5,0.1003158043821379,[0.05464053 0.         0.         0.         0.50930468 0.         0.         0.         0.01749977 0.03540949 0.         0.         0.         0.         0.01749977 0.         0.         0.         0.         0.01749977 0.08094845 0.02404609 0.         0.         0.         0.21910534 0.         0.         0.         0.02404609 0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
30,0.04597774046283726,0.197847,0.004036586260872014,0.512,0.5,0.026979688782887996,[0.05464053 0.         0.         0.         0.50930468 0.         0.         0.         0.01749977 0.03540949 0.         0.         0.         0.         0.01749977 0.         0.         0.         0.         0.01749977 0.08094845 0.02404609 0.         0.         0.         0.21910534 0.         0.         0.         0.02404609 0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
40,0.04597774046283726,0.197847,0.004036586260872014,0.516,0.5,0.029399082288797188,[0.05464053 0.         0.         0.         0.50930468 0.         0.         0.         0.01749977 0.03540949 0.         0.         0.         0.         0.01749977 0.         0.         0.         0.         0.01749977 0.08094845 0.02404609 0.         0.         0.         0.21910534 0.         0.         0.         0.02404609 0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
50,0.04597774046283726,0.197847,0.004036586260872014,0.52,0.5,0.07550775996418943,[0.05464053 0.         0.         0.         0.50930468 0.         0.         0.         0.01749977 0.03540949 0.         0.         0.         0.         0.01749977 0.         0.         0.         0.         0.01749977 0.08094845 0.02404609 0.         0.         0.         0.21910534 0.         0.         0.         0.02404609 0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
60,0.04597774046283726,0.197847,0.004036586260872014,0.524,0.5,-0.08095274747213904,[0.05464053 0.         0.         0.         0.50930468 0.         0.         0.         0.01749977 0.03540949 0.         0.         0.         0.         0.01749977 0.         0.         0.         0.         0.01749977 0.08094845 0.02404609 0.         0.         0.         0.21910534 0.         0.         0.         0.02404609 0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
70,0.045573346821874444,0.189747,0.00397018134838785,0.528,0.5,0.09574579760173758,[0.         0.         0.         0.0664701  0.66890925 0.         0.         0.01765873 0.         0.         0.         0.         0.01765873 0.         0.         0.01765873 0.         0.0455318  0.         0.03801063 0.         0.02854566 0.         0.07419324 0.         0.         0.         0.02536312 0.         0.         0.        ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
80,0.03776781075519951,0.18676,0.00292976486306392,0.532,0.5,0.10128815590119022,[0.         0.01696007 0.         0.         0.69538846 0.         0.         0.         0.         0.04477831 0.04613519 0.02838241 0.         0.         0.03333098 0.         0.         0.05523723 0.         0.         0.0219906  0.         0.         0.         0.         0.03264584 0.         0.0251509  0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
90,0.03776781075519951,0.18676,0.00292976486306392,0.536,0.5,-0.010067357464701847,[0.         0.01696007 0.         0.         0.69538846 0.         0.         0.         0.         0.04477831 0.04613519 0.02838241 0.         0.         0.03333098 0.         0.         0.05523723 0.         0.         0.0219906  0.         0.         0.         0.         0.03264584 0.         0.0251509  0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
100,0.03776781075519951,0.18676,0.00292976486306392,0.54,0.5,-0.011093319748216143,[0.         0.01696007 0.         0.         0.69538846 0.         0.         0.         0.         0.04477831 0.04613519 0.02838241 0.         0.         0.03333098 0.         0.         0.05523723 0.         0.         0.0219906  0.         0.         0.         0.         0.03264584 0.         0.0251509  0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
110,0.03776781075519951,0.18676,0.00292976486306392,0.544,0.5,-0.02802220425294152,[0.         0.01696007 0.         0.         0.69538846 0.         0.         0.         0.         0.04477831 0.04613519 0.02838241 0.         0.         0.03333098 0.         0.         0.05523723 0.         0.         0.0219906  0.         0.         0.         0.         0.03264584 0.         0.0251509  0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
120,0.03776781075519951,0.18676,0.00292976486306392,0.548,0.5,-0.02648496186794729,[0.         0.01696007 0.         0.         0.69538846 0.         0.         0.         0.         0.04477831 0.04613519 0.02838241 0.         0.         0.03333098 0.         0.         0.05523723 0.         0.         0.0219906  0.         0.         0.         0.         0.03264584 0.         0.0251509  0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
130,0.03776781075519951,0.18676,0.00292976486306392,0.552,0.5,0.026465755958345723,[0.         0.01696007 0.         0.         0.69538846 0.         0.         0.         0.         0.04477831 0.04613519 0.02838241 0.         0.         0.03333098 0.         0.         0.05523723 0.         0.         0.0219906  0.         0.         0.         0.         0.03264584 0.         0.0251509  0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
