iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
1,0.10160104668234116,0.003511152178142368,0.7,7.884387229072742,[0.         0.         0.         0.01411881 0.01170014 0.         0.01084584 0.         0.01567483 0.         0.01421999 0.         0.01940702 0.         0.         0.         0.         0.         0.85792866 0.01912242 0.01836953 0.         0.         0.         0.         0.         0.01861275 0.         0.         0.         0.        ],[0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],10.0,1000,30,0.6,10,1,10,70,tuning_par
10,0.10160104668234116,0.003511152178142368,0.7,-3.315443548501654,[0.         0.         0.         0.01411881 0.01170014 0.         0.01084584 0.         0.01567483 0.         0.01421999 0.         0.01940702 0.         0.         0.         0.         0.         0.85792866 0.01912242 0.01836953 0.         0.         0.         0.         0.         0.01861275 0.         0.         0.         0.        ],[0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],10.0,1000,30,0.6,10,1,10,70,tuning_par
20,0.10160104668234116,0.003511152178142368,0.7,2.784218320745974,[0.         0.         0.         0.01411881 0.01170014 0.         0.01084584 0.         0.01567483 0.         0.01421999 0.         0.01940702 0.         0.         0.         0.         0.         0.85792866 0.01912242 0.01836953 0.         0.         0.         0.         0.         0.01861275 0.         0.         0.         0.        ],[0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],10.0,1000,30,0.6,10,1,10,70,tuning_par
30,0.10160104668234116,0.003511152178142368,0.7,12.739180616824822,[0.         0.         0.         0.01411881 0.01170014 0.         0.01084584 0.         0.01567483 0.         0.01421999 0.         0.01940702 0.         0.         0.         0.         0.         0.85792866 0.01912242 0.01836953 0.         0.         0.         0.         0.         0.01861275 0.         0.         0.         0.        ],[0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],10.0,1000,30,0.6,10,1,10,70,tuning_par
40,0.07317881069669345,0.003385579254925138,0.7,-12.737876402311239,[0.         0.         0.         0.         0.01349424 0.01150228 0.         0.         0.01846077 0.8596455  0.         0.         0.01842279 0.         0.         0.         0.         0.01665347 0.         0.01419222 0.         0.         0.         0.         0.01410052 0.         0.         0.         0.02137341 0.         0.0121548 ],[0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
50,0.07317881069669345,0.003385579254925138,0.7,12.184292049012836,[0.         0.         0.         0.         0.01349424 0.01150228 0.         0.         0.01846077 0.8596455  0.         0.         0.01842279 0.         0.         0.         0.         0.01665347 0.         0.01419222 0.         0.         0.         0.         0.01410052 0.         0.         0.         0.02137341 0.         0.0121548 ],[0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
60,0.07317881069669345,0.003385579254925138,0.7,-2.18925849037639,[0.         0.         0.         0.         0.01349424 0.01150228 0.         0.         0.01846077 0.8596455  0.         0.         0.01842279 0.         0.         0.         0.         0.01665347 0.         0.01419222 0.         0.         0.         0.         0.01410052 0.         0.         0.         0.02137341 0.         0.0121548 ],[0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
70,0.07317881069669345,0.003385579254925138,0.7,-4.827235932851322,[0.         0.         0.         0.         0.01349424 0.01150228 0.         0.         0.01846077 0.8596455  0.         0.         0.01842279 0.         0.         0.         0.         0.01665347 0.         0.01419222 0.         0.         0.         0.         0.01410052 0.         0.         0.         0.02137341 0.         0.0121548 ],[0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
80,0.07317881069669345,0.003385579254925138,0.7,21.00055223896775,[0.         0.         0.         0.         0.01349424 0.01150228 0.         0.         0.01846077 0.8596455  0.         0.         0.01842279 0.         0.         0.         0.         0.01665347 0.         0.01419222 0.         0.         0.         0.         0.01410052 0.         0.         0.         0.02137341 0.         0.0121548 ],[0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
90,0.041803940903847064,0.004676008818449786,0.7,14.102125600211387,[0.         0.02053563 0.         0.         0.02010383 0.01622169 0.         0.01264455 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01635918 0.01120283 0.         0.         0.01720051 0.         0.         0.         0.85275917 0.01864135 0.         0.         0.         0.01433126],[0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],10.0,1000,30,0.6,10,1,10,70,tuning_par
