iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.08492686769767713,0.172824,0.002970264604645753,0.1004,0.69863918733465,-0.1094662896287499,[0.07356413 0.         0.         0.         0.         0.         0.         0.         0.07711702 0.         0.0584717  0.         0.         0.01496263 0.         0.06516321 0.         0.         0.         0.         0.01496263 0.         0.         0.02242553 0.02857798 0.40858493 0.         0.23617024 0.         0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.3,0.5,1,10,,tuning_sigma
10,0.07672832366395331,0.198932,0.004006658566851779,0.10400000000000001,0.6865103033060405,-0.17431731511474063,[0.         0.         0.         0.         0.41652181 0.         0.03787194 0.         0.03306211 0.         0.03738863 0.         0.         0.         0.0283978  0.         0.         0.         0.         0.         0.         0.         0.         0.07758175 0.03041557 0.04379912 0.         0.26881331 0.02614796 0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.3,0.5,1,10,,tuning_sigma
20,0.07267827071670661,0.189823,0.004020212489045049,0.10800000000000001,0.6732805664933595,0.03793013429724585,[0.         0.         0.         0.         0.         0.         0.05808839 0.         0.04762793 0.         0.         0.         0.02574458 0.03983427 0.03194972 0.         0.         0.         0.         0.         0.05654982 0.         0.0461121  0.         0.03322365 0.06577353 0.         0.59509601 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.3,0.5,1,10,,tuning_sigma
30,0.07267827071670661,0.189823,0.004020212489045049,0.112,0.6603057798763129,0.1333416281598311,[0.         0.         0.         0.         0.         0.         0.05808839 0.         0.04762793 0.         0.         0.         0.02574458 0.03983427 0.03194972 0.         0.         0.         0.         0.         0.05654982 0.         0.0461121  0.         0.03322365 0.06577353 0.         0.59509601 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.3,0.5,1,10,,tuning_sigma
40,0.0706620048137054,0.18954,0.0050930978208434,0.116,0.6475810303108847,-0.2079282678872793,[0.04797314 0.         0.0247269  0.02890957 0.         0.         0.         0.         0.0462133  0.         0.         0.         0.         0.         0.02365263 0.         0.         0.         0.         0.         0.         0.         0.         0.02304189 0.04254844 0.24552202 0.02152737 0.49588474 0.         0.         0.        ],[1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.3,0.5,1,10,,tuning_sigma
50,0.0704698061368152,0.179101,0.004931553421937596,0.12000000000000001,0.6351014993342337,0.2106962350081298,[0.0249257  0.         0.         0.02566695 0.         0.         0.         0.026412   0.06842416 0.         0.         0.         0.         0.01810869 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.04032437 0.03497876 0.44162233 0.         0.29536671 0.02417035 0.         0.        ],[1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.3,0.5,1,10,,tuning_sigma
60,0.0704698061368152,0.179101,0.004931553421937596,0.124,0.622862461340094,-0.08058516511601833,[0.0249257  0.         0.         0.02566695 0.         0.         0.         0.026412   0.06842416 0.         0.         0.         0.         0.01810869 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.04032437 0.03497876 0.44162233 0.         0.29536671 0.02417035 0.         0.        ],[1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.3,0.5,1,10,,tuning_sigma
70,0.0704698061368152,0.179101,0.004931553421937596,0.128,0.6108592817893356,-0.07885445273051025,[0.0249257  0.         0.         0.02566695 0.         0.         0.         0.026412   0.06842416 0.         0.         0.         0.         0.01810869 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.04032437 0.03497876 0.44162233 0.         0.29536671 0.02417035 0.         0.        ],[1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.3,0.5,1,10,,tuning_sigma
80,0.0704698061368152,0.179101,0.004931553421937596,0.132,0.5990874154550098,0.2655741971957115,[0.0249257  0.         0.         0.02566695 0.         0.         0.         0.026412   0.06842416 0.         0.         0.         0.         0.01810869 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.04032437 0.03497876 0.44162233 0.         0.29536671 0.02417035 0.         0.        ],[1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.3,0.5,1,10,,tuning_sigma
90,0.057363643773164656,0.191749,0.004899442384038708,0.136,0.5875424047012152,-0.011130784734537647,[0.         0.         0.         0.04074286 0.         0.         0.         0.         0.06207782 0.         0.         0.         0.         0.03618664 0.         0.         0.         0.         0.03877214 0.         0.02471316 0.         0.05356451 0.03445666 0.05183902 0.         0.         0.62260237 0.03504482 0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.3,0.5,1,10,,tuning_sigma
