iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
1,0.16552042552354998,0.004498511140322721,0.5,-0.015586682720347463,[0.         0.         0.011743   0.         0.01435129 0.         0.01188171 0.01144045 0.         0.         0.         0.43184347 0.01147237 0.         0.         0.03055995 0.         0.         0.02458479 0.         0.         0.         0.         0.         0.         0.         0.         0.43767703 0.         0.01444594 0.        ],[0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
10,0.16552042552354998,0.004498511140322721,0.5,-1.5337795982057232,[0.         0.         0.011743   0.         0.01435129 0.         0.01188171 0.01144045 0.         0.         0.         0.43184347 0.01147237 0.         0.         0.03055995 0.         0.         0.02458479 0.         0.         0.         0.         0.         0.         0.         0.         0.43767703 0.         0.01444594 0.        ],[0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
20,0.12275611201340982,0.004273260272497943,0.5,2.694431030923408,[0.         0.         0.0470009  0.         0.         0.03389943 0.04546335 0.         0.         0.         0.         0.         0.         0.         0.02698731 0.         0.0435729  0.         0.67750059 0.01754946 0.01463818 0.048237   0.         0.         0.         0.         0.         0.04515086 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
30,0.12275611201340982,0.004273260272497943,0.5,4.644578436383592,[0.         0.         0.0470009  0.         0.         0.03389943 0.04546335 0.         0.         0.         0.         0.         0.         0.         0.02698731 0.         0.0435729  0.         0.67750059 0.01754946 0.01463818 0.048237   0.         0.         0.         0.         0.         0.04515086 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
40,0.12275611201340982,0.004273260272497943,0.5,-4.290791809348685,[0.         0.         0.0470009  0.         0.         0.03389943 0.04546335 0.         0.         0.         0.         0.         0.         0.         0.02698731 0.         0.0435729  0.         0.67750059 0.01754946 0.01463818 0.048237   0.         0.         0.         0.         0.         0.04515086 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
50,0.12275611201340982,0.004273260272497943,0.5,1.3698179067725837,[0.         0.         0.0470009  0.         0.         0.03389943 0.04546335 0.         0.         0.         0.         0.         0.         0.         0.02698731 0.         0.0435729  0.         0.67750059 0.01754946 0.01463818 0.048237   0.         0.         0.         0.         0.         0.04515086 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
60,0.08891627503116595,0.006165841275369719,0.5,3.9394118704441308,[0.         0.         0.01375453 0.         0.         0.         0.01486392 0.02943561 0.75719625 0.         0.         0.         0.         0.         0.03425663 0.03205929 0.         0.01926881 0.         0.0304596  0.         0.         0.         0.         0.         0.03579386 0.0329115  0.         0.         0.         0.        ],[0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
70,0.07205963414758226,0.004150818857272651,0.5,9.794166251057522,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
80,0.07205963414758226,0.004150818857272651,0.5,0.17531807907088842,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
90,0.07205963414758226,0.004150818857272651,0.5,-5.334521526123129,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
