iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
1,0.1756568434732064,0.004860943437766051,0.4,15.629929873008779,[0.         0.01432786 0.         0.         0.01824588 0.         0.         0.         0.         0.         0.         0.         0.01513313 0.         0.01546907 0.         0.         0.         0.01898402 0.         0.01863672 0.         0.         0.         0.         0.         0.         0.86176654 0.         0.02026483 0.01717195],[0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
10,0.14877984806952707,0.0030784411373636763,0.4,-3.5100881117535665,[0.01115614 0.         0.         0.01116958 0.01771775 0.         0.         0.         0.84166994 0.         0.         0.02965709 0.         0.03169776 0.         0.         0.         0.         0.         0.         0.         0.         0.01495887 0.         0.         0.02113427 0.         0.         0.         0.02083859 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
20,0.14877984806952707,0.0030784411373636763,0.4,-6.2128912421106675,[0.01115614 0.         0.         0.01116958 0.01771775 0.         0.         0.         0.84166994 0.         0.         0.02965709 0.         0.03169776 0.         0.         0.         0.         0.         0.         0.         0.         0.01495887 0.         0.         0.02113427 0.         0.         0.         0.02083859 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
30,0.04807968680038181,0.002502687442281218,0.4,17.232955156025536,[0.01460755 0.         0.01058228 0.         0.         0.         0.         0.         0.01178849 0.         0.         0.         0.         0.01090676 0.         0.         0.         0.01169321 0.         0.02467801 0.         0.         0.         0.         0.         0.         0.         0.01965301 0.01237281 0.         0.88371789],[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
40,0.04807968680038181,0.002502687442281218,0.4,8.025908657014703,[0.01460755 0.         0.01058228 0.         0.         0.         0.         0.         0.01178849 0.         0.         0.         0.         0.01090676 0.         0.         0.         0.01169321 0.         0.02467801 0.         0.         0.         0.         0.         0.         0.         0.01965301 0.01237281 0.         0.88371789],[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
50,0.04807968680038181,0.002502687442281218,0.4,-9.546146887053059,[0.01460755 0.         0.01058228 0.         0.         0.         0.         0.         0.01178849 0.         0.         0.         0.         0.01090676 0.         0.         0.         0.01169321 0.         0.02467801 0.         0.         0.         0.         0.         0.         0.         0.01965301 0.01237281 0.         0.88371789],[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
60,0.04807968680038181,0.002502687442281218,0.4,-11.538347587099233,[0.01460755 0.         0.01058228 0.         0.         0.         0.         0.         0.01178849 0.         0.         0.         0.         0.01090676 0.         0.         0.         0.01169321 0.         0.02467801 0.         0.         0.         0.         0.         0.         0.         0.01965301 0.01237281 0.         0.88371789],[1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
70,0.036925872510267174,0.004467883932070357,0.4,14.011835445644108,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
80,0.036925872510267174,0.004467883932070357,0.4,13.600663936391676,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
90,0.036925872510267174,0.004467883932070357,0.4,-23.80605973013818,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
100,0.036925872510267174,0.004467883932070357,0.4,16.72511868448786,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
110,0.036925872510267174,0.004467883932070357,0.4,-7.91540545464875,[0.         0.         0.02083142 0.         0.01291731 0.         0.         0.         0.         0.         0.         0.         0.         0.01123377 0.         0.02706818 0.0207034  0.         0.         0.         0.         0.01880471 0.         0.         0.         0.86334414 0.01425953 0.         0.         0.         0.01083755],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1.],9.0,1000,30,0.6,10,1,9,,tuning_sigma_par
