iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.07811852791869349,0.160327,0.004089944162613012,0.5,0.5,0.009698903327842323,[0.         0.01527367 0.20740479 0.         0.15036684 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.06685325 0.01815575 0.01794597 0.10777924 0.06715723 0.         0.         0.         0.         0.         0.         0.12475698 0.         0.22430629 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,300,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
10,0.07811852791869349,0.160327,0.004089944162613012,0.5,0.5,-0.08435193756979292,[0.         0.01527367 0.20740479 0.         0.15036684 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.06685325 0.01815575 0.01794597 0.10777924 0.06715723 0.         0.         0.         0.         0.         0.         0.12475698 0.         0.22430629 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,300,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
20,0.07121435617861833,0.182025,0.0031463693496058707,0.5,0.5,0.02555153407662926,[0.0300965  0.         0.         0.         0.21307058 0.         0.         0.         0.         0.01814224 0.         0.08311873 0.         0.0341166  0.         0.20554481 0.         0.         0.         0.02671701 0.         0.02853685 0.         0.         0.         0.22203991 0.         0.         0.13861678 0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0.],10.0,best,1000,300,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
30,0.07121435617861833,0.182025,0.0031463693496058707,0.5,0.5,0.03620732806798626,[0.0300965  0.         0.         0.         0.21307058 0.         0.         0.         0.         0.01814224 0.         0.08311873 0.         0.0341166  0.         0.20554481 0.         0.         0.         0.02671701 0.         0.02853685 0.         0.         0.         0.22203991 0.         0.         0.13861678 0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0.],10.0,best,1000,300,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
40,0.07121435617861833,0.182025,0.0031463693496058707,0.5,0.5,0.02523023556083134,[0.0300965  0.         0.         0.         0.21307058 0.         0.         0.         0.         0.01814224 0.         0.08311873 0.         0.0341166  0.         0.20554481 0.         0.         0.         0.02671701 0.         0.02853685 0.         0.         0.         0.22203991 0.         0.         0.13861678 0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0.],10.0,best,1000,300,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
50,0.06857921990529661,0.181923,0.0037536008354426397,0.5,0.5,0.08201004124146903,[0.         0.04271952 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.06414744 0.06989252 0.         0.         0.03381077 0.         0.         0.19101846 0.         0.         0.         0.02015726 0.02237193 0.         0.08342181 0.         0.27243354 0.         0.         0.20002674],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,300,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
60,0.06857921990529661,0.181923,0.0037536008354426397,0.5,0.5,-0.0715689202964159,[0.         0.04271952 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.06414744 0.06989252 0.         0.         0.03381077 0.         0.         0.19101846 0.         0.         0.         0.02015726 0.02237193 0.         0.08342181 0.         0.27243354 0.         0.         0.20002674],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,300,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
70,0.06857921990529661,0.181923,0.0037536008354426397,0.5,0.5,-0.036560890869481076,[0.         0.04271952 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.06414744 0.06989252 0.         0.         0.03381077 0.         0.         0.19101846 0.         0.         0.         0.02015726 0.02237193 0.         0.08342181 0.         0.27243354 0.         0.         0.20002674],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,300,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
80,0.06857921990529661,0.181923,0.0037536008354426397,0.5,0.5,-0.10219361294523016,[0.         0.04271952 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.06414744 0.06989252 0.         0.         0.03381077 0.         0.         0.19101846 0.         0.         0.         0.02015726 0.02237193 0.         0.08342181 0.         0.27243354 0.         0.         0.20002674],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,300,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
90,0.06857921990529661,0.181923,0.0037536008354426397,0.5,0.5,0.02239814654949929,[0.         0.04271952 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.06414744 0.06989252 0.         0.         0.03381077 0.         0.         0.19101846 0.         0.         0.         0.02015726 0.02237193 0.         0.08342181 0.         0.27243354 0.         0.         0.20002674],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,300,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
