iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.08265803389490224,0.169377,0.004060932210195507,0.5,0.5,-0.014602857344216659,[0.         0.         0.10351439 0.         0.         0.         0.         0.         0.02098257 0.         0.         0.10015177 0.         0.         0.         0.         0.03641949 0.02681875 0.08733351 0.         0.09965308 0.         0.         0.01854094 0.         0.4750131  0.         0.03157242 0.         0.         0.        ],[0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
10,0.07173669405154576,0.188498,0.004774380490691973,0.5,0.5,0.021461078679429382,[0.12387607 0.         0.         0.02990961 0.16613638 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.06955197 0.01957295 0.         0.         0.09330643 0.         0.05223875 0.02834673 0.         0.39748815 0.         0.01957295 0.         0.         0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
20,0.07173669405154576,0.188498,0.004774380490691973,0.5,0.5,0.01970672215985003,[0.12387607 0.         0.         0.02990961 0.16613638 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.06955197 0.01957295 0.         0.         0.09330643 0.         0.05223875 0.02834673 0.         0.39748815 0.         0.01957295 0.         0.         0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
30,0.07173669405154576,0.188498,0.004774380490691973,0.5,0.5,0.034193960861011785,[0.12387607 0.         0.         0.02990961 0.16613638 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.06955197 0.01957295 0.         0.         0.09330643 0.         0.05223875 0.02834673 0.         0.39748815 0.         0.01957295 0.         0.         0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
40,0.06838560912943246,0.197413,0.00259116358660905,0.5,0.5,-0.05538117539603417,[0.01797184 0.         0.         0.         0.10465238 0.         0.         0.         0.09304862 0.         0.         0.         0.         0.06265063 0.03663019 0.         0.08273289 0.         0.         0.         0.         0.         0.03852658 0.06049383 0.         0.46218638 0.         0.04110665 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
50,0.06838560912943246,0.197413,0.00259116358660905,0.5,0.5,-0.043328364758572255,[0.01797184 0.         0.         0.         0.10465238 0.         0.         0.         0.09304862 0.         0.         0.         0.         0.06265063 0.03663019 0.         0.08273289 0.         0.         0.         0.         0.         0.03852658 0.06049383 0.         0.46218638 0.         0.04110665 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
60,0.06838560912943246,0.197413,0.00259116358660905,0.5,0.5,0.021164281593785014,[0.01797184 0.         0.         0.         0.10465238 0.         0.         0.         0.09304862 0.         0.         0.         0.         0.06265063 0.03663019 0.         0.08273289 0.         0.         0.         0.         0.         0.03852658 0.06049383 0.         0.46218638 0.         0.04110665 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
70,0.06838560912943246,0.197413,0.00259116358660905,0.5,0.5,-0.013686711531203164,[0.01797184 0.         0.         0.         0.10465238 0.         0.         0.         0.09304862 0.         0.         0.         0.         0.06265063 0.03663019 0.         0.08273289 0.         0.         0.         0.         0.         0.03852658 0.06049383 0.         0.46218638 0.         0.04110665 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
80,0.06838560912943246,0.197413,0.00259116358660905,0.5,0.5,0.029157684718979667,[0.01797184 0.         0.         0.         0.10465238 0.         0.         0.         0.09304862 0.         0.         0.         0.         0.06265063 0.03663019 0.         0.08273289 0.         0.         0.         0.         0.         0.03852658 0.06049383 0.         0.46218638 0.         0.04110665 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
90,0.06838560912943246,0.197413,0.00259116358660905,0.5,0.5,0.08731613847205422,[0.01797184 0.         0.         0.         0.10465238 0.         0.         0.         0.09304862 0.         0.         0.         0.         0.06265063 0.03663019 0.         0.08273289 0.         0.         0.         0.         0.         0.03852658 0.06049383 0.         0.46218638 0.         0.04110665 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
100,0.05478203039689205,0.185439,0.0038716566307732325,0.5,0.5,-0.0700802033833962,[0.         0.         0.         0.         0.         0.         0.         0.01857625 0.09413753 0.         0.         0.10500108 0.         0.         0.04864421 0.         0.08553306 0.         0.         0.         0.04879945 0.         0.         0.         0.         0.47725035 0.02516529 0.07707959 0.         0.         0.0198132 ],[0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
110,0.05478203039689205,0.185439,0.0038716566307732325,0.5,0.5,0.09638253835879373,[0.         0.         0.         0.         0.         0.         0.         0.01857625 0.09413753 0.         0.         0.10500108 0.         0.         0.04864421 0.         0.08553306 0.         0.         0.         0.04879945 0.         0.         0.         0.         0.47725035 0.02516529 0.07707959 0.         0.         0.0198132 ],[0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
