iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.11808153490761461,0.188978,0.004661765821780137,0.10000400000000001,0.6999863787614855,0.01423072360807576,[0.0301651  0.         0.         0.         0.03007138 0.         0.         0.         0.04041528 0.         0.02265159 0.         0.         0.         0.         0.         0.         0.02114737 0.02827412 0.         0.         0.         0.         0.         0.         0.02203817 0.         0.75799261 0.         0.03349101 0.01375337],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.7,1,10,,varying_lambda
1000,0.04849164757688706,0.170977,0.003657465709452608,0.10400000000000001,0.6865103033060405,-0.008278717874159965,[0.02225922 0.         0.         0.         0.01399185 0.         0.         0.         0.04277643 0.         0.         0.         0.         0.03020315 0.         0.         0.         0.02057123 0.01978817 0.         0.         0.         0.         0.         0.         0.03011    0.         0.76116982 0.         0.03566818 0.02346196],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.7,1,10,,varying_lambda
2000,0.047035127500600175,0.172407,0.002881073750357718,0.10800000000000001,0.6732805664933595,-0.02028801091809536,[0.0125246  0.         0.         0.         0.         0.         0.         0.01429035 0.04072925 0.         0.         0.         0.         0.03057428 0.         0.01496583 0.         0.         0.01274221 0.         0.         0.         0.         0.         0.         0.03483467 0.         0.76272915 0.         0.04258411 0.03402557],[1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.7,1,10,,varying_lambda
3000,0.044052640837074955,0.188236,0.0037222175636879838,0.112,0.6603057798763129,0.00796561252249587,[0.01771832 0.         0.         0.         0.         0.         0.         0.         0.03093126 0.         0.         0.         0.         0.02064048 0.         0.03433377 0.01143602 0.         0.02509912 0.         0.         0.         0.         0.         0.         0.0285747  0.         0.76371957 0.         0.04344389 0.02410287],[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.7,1,10,,varying_lambda
4000,0.04403451628665505,0.172811,0.0051310445333175,0.116,0.6475810303108847,-0.03439289876525232,[0.01234983 0.         0.02245394 0.         0.01348658 0.         0.         0.         0.03702387 0.         0.         0.         0.         0.         0.         0.         0.         0.03409242 0.02296224 0.         0.         0.         0.         0.         0.         0.03753344 0.         0.76203483 0.         0.03905433 0.01900851],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.7,1,10,,varying_lambda
5000,0.04403451628665505,0.172811,0.0051310445333175,0.12000000000000001,0.6351014993342337,0.02597085061877417,[0.01234983 0.         0.02245394 0.         0.01348658 0.         0.         0.         0.03702387 0.         0.         0.         0.         0.         0.         0.         0.         0.03409242 0.02296224 0.         0.         0.         0.         0.         0.         0.03753344 0.         0.76203483 0.         0.03905433 0.01900851],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.7,1,10,,varying_lambda
6000,0.04403451628665505,0.172811,0.0051310445333175,0.124,0.622862461340094,0.041553002957906274,[0.01234983 0.         0.02245394 0.         0.01348658 0.         0.         0.         0.03702387 0.         0.         0.         0.         0.         0.         0.         0.         0.03409242 0.02296224 0.         0.         0.         0.         0.         0.         0.03753344 0.         0.76203483 0.         0.03905433 0.01900851],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.7,1,10,,varying_lambda
7000,0.04403451628665505,0.172811,0.0051310445333175,0.128,0.6108592817893356,-0.006066973922576663,[0.01234983 0.         0.02245394 0.         0.01348658 0.         0.         0.         0.03702387 0.         0.         0.         0.         0.         0.         0.         0.         0.03409242 0.02296224 0.         0.         0.         0.         0.         0.         0.03753344 0.         0.76203483 0.         0.03905433 0.01900851],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.7,1,10,,varying_lambda
8000,0.04403451628665505,0.172811,0.0051310445333175,0.132,0.5990874154550098,-0.04468872255463649,[0.01234983 0.         0.02245394 0.         0.01348658 0.         0.         0.         0.03702387 0.         0.         0.         0.         0.         0.         0.         0.         0.03409242 0.02296224 0.         0.         0.         0.         0.         0.         0.03753344 0.         0.76203483 0.         0.03905433 0.01900851],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.7,1,10,,varying_lambda
9000,0.04403451628665505,0.172811,0.0051310445333175,0.136,0.5875424047012152,0.037382099792357036,[0.01234983 0.         0.02245394 0.         0.01348658 0.         0.         0.         0.03702387 0.         0.         0.         0.         0.         0.         0.         0.         0.03409242 0.02296224 0.         0.         0.         0.         0.         0.         0.03753344 0.         0.76203483 0.         0.03905433 0.01900851],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,100000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.7,1,10,,varying_lambda
