iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.03460012924126047,0.140333,0.004506548984574703,0.1004,0.69863918733465,0.010500031241582575,[0.         0.         0.03665589 0.         0.57895881 0.         0.         0.         0.         0.         0.01885395 0.         0.         0.         0.01885395 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.30900329 0.         0.03767411 0.        ],[0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
10,0.03230743115952242,0.163496,0.004260705881981285,0.10400000000000001,0.6865103033060405,-0.0027372089596533113,[0.         0.         0.         0.         0.71824095 0.         0.02259453 0.         0.         0.         0.04443789 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.03622529 0.         0.1334242  0.         0.04507714 0.        ],[0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
20,0.018654874029173346,0.153075,0.0037057315844799643,0.10800000000000001,0.6732805664933595,0.01974615544985191,[0.         0.         0.         0.         0.32785476 0.         0.         0.02311519 0.02311519 0.         0.02018227 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.49113751 0.         0.11459508 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
30,0.018654874029173346,0.153075,0.0037057315844799643,0.112,0.6603057798763129,-0.019871154625147245,[0.         0.         0.         0.         0.32785476 0.         0.         0.02311519 0.02311519 0.         0.02018227 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.49113751 0.         0.11459508 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
40,0.01827631064864304,0.170004,0.0030479489122869894,0.116,0.6475810303108847,0.024875334777798363,[0.         0.         0.         0.         0.53162254 0.         0.02336861 0.02336861 0.         0.         0.0438065  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02336861 0.         0.35446513 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
50,0.01827631064864304,0.170004,0.0030479489122869894,0.12000000000000001,0.6351014993342337,-0.002169599486596162,[0.         0.         0.         0.         0.53162254 0.         0.02336861 0.02336861 0.         0.         0.0438065  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02336861 0.         0.35446513 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
60,0.01827631064864304,0.170004,0.0030479489122869894,0.124,0.622862461340094,-0.008134741843221925,[0.         0.         0.         0.         0.53162254 0.         0.02336861 0.02336861 0.         0.         0.0438065  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02336861 0.         0.35446513 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
70,0.01827631064864304,0.170004,0.0030479489122869894,0.128,0.6108592817893356,-0.003118884773662053,[0.         0.         0.         0.         0.53162254 0.         0.02336861 0.02336861 0.         0.         0.0438065  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02336861 0.         0.35446513 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
80,0.01827631064864304,0.170004,0.0030479489122869894,0.132,0.5990874154550098,-0.0030491507971754698,[0.         0.         0.         0.         0.53162254 0.         0.02336861 0.02336861 0.         0.         0.0438065  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02336861 0.         0.35446513 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
90,0.01827631064864304,0.170004,0.0030479489122869894,0.136,0.5875424047012152,0.01654121436703257,[0.         0.         0.         0.         0.53162254 0.         0.02336861 0.02336861 0.         0.         0.0438065  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02336861 0.         0.35446513 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
100,0.01827631064864304,0.170004,0.0030479489122869894,0.14,0.576219877795131,-0.020175725094515366,[0.         0.         0.         0.         0.53162254 0.         0.02336861 0.02336861 0.         0.         0.0438065  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02336861 0.         0.35446513 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
110,0.01827631064864304,0.170004,0.0030479489122869894,0.14400000000000002,0.5651155472515784,0.0036506331126131123,[0.         0.         0.         0.         0.53162254 0.         0.02336861 0.02336861 0.         0.         0.0438065  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02336861 0.         0.35446513 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],6.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.27,1,6,,problem_solving
