iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.07896197953133878,0.204111,0.0039061337328166533,0.1004,0.5,-0.04901918361703163,[0.         0.033653   0.         0.         0.02607542 0.         0.         0.         0.         0.         0.         0.         0.         0.02391649 0.         0.02157049 0.0202493  0.         0.         0.01996821 0.15810205 0.         0.         0.         0.02666247 0.31370057 0.         0.35610201 0.         0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
10,0.07849179544213485,0.202176,0.0033815293077570753,0.10400000000000001,0.5,0.043680386100134756,[0.         0.05768702 0.         0.         0.29001979 0.         0.         0.01849605 0.         0.         0.         0.         0.         0.0301897  0.         0.         0.         0.         0.         0.02501033 0.         0.0275884  0.         0.         0.03138872 0.2906286  0.         0.18930043 0.         0.         0.03969098],[0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
20,0.07849179544213485,0.202176,0.0033815293077570753,0.10800000000000001,0.5,-0.04993953948351486,[0.         0.05768702 0.         0.         0.29001979 0.         0.         0.01849605 0.         0.         0.         0.         0.         0.0301897  0.         0.         0.         0.         0.         0.02501033 0.         0.0275884  0.         0.         0.03138872 0.2906286  0.         0.18930043 0.         0.         0.03969098],[0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
30,0.07189140885899789,0.192283,0.0041433748316861505,0.112,0.5,-0.07007408694823324,[0.         0.         0.         0.         0.02776437 0.         0.         0.         0.         0.         0.03775237 0.         0.         0.03980284 0.         0.03122736 0.         0.         0.0922266  0.02299668 0.         0.         0.         0.         0.0343513  0.29827449 0.         0.3608431  0.         0.         0.0547609 ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
40,0.07189140885899789,0.192283,0.0041433748316861505,0.116,0.5,-0.09031165499149298,[0.         0.         0.         0.         0.02776437 0.         0.         0.         0.         0.         0.03775237 0.         0.         0.03980284 0.         0.03122736 0.         0.         0.0922266  0.02299668 0.         0.         0.         0.         0.0343513  0.29827449 0.         0.3608431  0.         0.         0.0547609 ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
50,0.06594446116930423,0.194784,0.0032611178350103968,0.12000000000000001,0.5,-0.04284594010299693,[0.         0.05664597 0.         0.         0.06950635 0.         0.         0.01592551 0.         0.         0.         0.0169666  0.         0.03793467 0.         0.03272893 0.         0.         0.         0.         0.         0.         0.         0.         0.02803487 0.20550927 0.         0.50418582 0.         0.         0.03256202],[0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
60,0.06594446116930423,0.194784,0.0032611178350103968,0.124,0.5,-0.05146251724917355,[0.         0.05664597 0.         0.         0.06950635 0.         0.         0.01592551 0.         0.         0.         0.0169666  0.         0.03793467 0.         0.03272893 0.         0.         0.         0.         0.         0.         0.         0.         0.02803487 0.20550927 0.         0.50418582 0.         0.         0.03256202],[0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
70,0.06594446116930423,0.194784,0.0032611178350103968,0.128,0.5,-0.03330243383455938,[0.         0.05664597 0.         0.         0.06950635 0.         0.         0.01592551 0.         0.         0.         0.0169666  0.         0.03793467 0.         0.03272893 0.         0.         0.         0.         0.         0.         0.         0.         0.02803487 0.20550927 0.         0.50418582 0.         0.         0.03256202],[0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
80,0.06594446116930423,0.194784,0.0032611178350103968,0.132,0.5,0.03409009583632345,[0.         0.05664597 0.         0.         0.06950635 0.         0.         0.01592551 0.         0.         0.         0.0169666  0.         0.03793467 0.         0.03272893 0.         0.         0.         0.         0.         0.         0.         0.         0.02803487 0.20550927 0.         0.50418582 0.         0.         0.03256202],[0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
90,0.05650078464896184,0.202088,0.00356260301852949,0.136,0.5,-0.09709532746242827,[0.         0.03757498 0.         0.         0.02781464 0.         0.         0.         0.         0.         0.         0.         0.         0.04261411 0.         0.03558743 0.         0.         0.         0.03049325 0.         0.         0.02104454 0.         0.03297153 0.25440357 0.         0.4749735  0.         0.         0.04252245],[0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
100,0.05650078464896184,0.202088,0.00356260301852949,0.14,0.5,0.057250134413614276,[0.         0.03757498 0.         0.         0.02781464 0.         0.         0.         0.         0.         0.         0.         0.         0.04261411 0.         0.03558743 0.         0.         0.         0.03049325 0.         0.         0.02104454 0.         0.03297153 0.25440357 0.         0.4749735  0.         0.         0.04252245],[0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 1.],10.0,best,1000,100,10,0.9,0.1,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_bw
