iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.0735849276873702,0.150845,0.00367514462525962,0.10400000000000001,0.6865103033060405,0.009886385213246258,[0.         0.         0.         0.         0.         0.         0.03335751 0.         0.04063128 0.02299861 0.         0.         0.         0.         0.         0.03006499 0.21384608 0.         0.04380298 0.         0.03626637 0.         0.         0.         0.         0.33099647 0.         0.15685528 0.         0.09118042 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
2,0.0735849276873702,0.150845,0.00367514462525962,0.10800000000000001,0.6732805664933595,0.01756689253857615,[0.         0.         0.         0.         0.         0.         0.03335751 0.         0.04063128 0.02299861 0.         0.         0.         0.         0.         0.03006499 0.21384608 0.         0.04380298 0.         0.03626637 0.         0.         0.         0.         0.33099647 0.         0.15685528 0.         0.09118042 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
3,0.0735849276873702,0.150845,0.00367514462525962,0.112,0.6603057798763129,-0.01434794163294103,[0.         0.         0.         0.         0.         0.         0.03335751 0.         0.04063128 0.02299861 0.         0.         0.         0.         0.         0.03006499 0.21384608 0.         0.04380298 0.         0.03626637 0.         0.         0.         0.         0.33099647 0.         0.15685528 0.         0.09118042 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
4,0.0735849276873702,0.150845,0.00367514462525962,0.116,0.6475810303108847,-0.014299476970947505,[0.         0.         0.         0.         0.         0.         0.03335751 0.         0.04063128 0.02299861 0.         0.         0.         0.         0.         0.03006499 0.21384608 0.         0.04380298 0.         0.03626637 0.         0.         0.         0.         0.33099647 0.         0.15685528 0.         0.09118042 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
5,0.0735849276873702,0.150845,0.00367514462525962,0.12000000000000001,0.6351014993342337,-0.01478190345208426,[0.         0.         0.         0.         0.         0.         0.03335751 0.         0.04063128 0.02299861 0.         0.         0.         0.         0.         0.03006499 0.21384608 0.         0.04380298 0.         0.03626637 0.         0.         0.         0.         0.33099647 0.         0.15685528 0.         0.09118042 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
6,0.0735849276873702,0.150845,0.00367514462525962,0.124,0.622862461340094,-0.004606195783991895,[0.         0.         0.         0.         0.         0.         0.03335751 0.         0.04063128 0.02299861 0.         0.         0.         0.         0.         0.03006499 0.21384608 0.         0.04380298 0.         0.03626637 0.         0.         0.         0.         0.33099647 0.         0.15685528 0.         0.09118042 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
7,0.0735849276873702,0.150845,0.00367514462525962,0.128,0.6108592817893356,0.02113472629824953,[0.         0.         0.         0.         0.         0.         0.03335751 0.         0.04063128 0.02299861 0.         0.         0.         0.         0.         0.03006499 0.21384608 0.         0.04380298 0.         0.03626637 0.         0.         0.         0.         0.33099647 0.         0.15685528 0.         0.09118042 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
8,0.0735849276873702,0.150845,0.00367514462525962,0.132,0.5990874154550098,0.021459406709771835,[0.         0.         0.         0.         0.         0.         0.03335751 0.         0.04063128 0.02299861 0.         0.         0.         0.         0.         0.03006499 0.21384608 0.         0.04380298 0.         0.03626637 0.         0.         0.         0.         0.33099647 0.         0.15685528 0.         0.09118042 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
9,0.0735849276873702,0.150845,0.00367514462525962,0.136,0.5875424047012152,-0.0005152603333366465,[0.         0.         0.         0.         0.         0.         0.03335751 0.         0.04063128 0.02299861 0.         0.         0.         0.         0.         0.03006499 0.21384608 0.         0.04380298 0.         0.03626637 0.         0.         0.         0.         0.33099647 0.         0.15685528 0.         0.09118042 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
10,0.0735849276873702,0.150845,0.00367514462525962,0.14,0.576219877795131,-0.0017497318394709995,[0.         0.         0.         0.         0.         0.         0.03335751 0.         0.04063128 0.02299861 0.         0.         0.         0.         0.         0.03006499 0.21384608 0.         0.04380298 0.         0.03626637 0.         0.         0.         0.         0.33099647 0.         0.15685528 0.         0.09118042 0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,100,100,10,0.9,0.1,0.5,0.1,0.7,0.03,0.5,1,10,,tuning_iter
