iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.07627257105156572,0.156502,0.00395685789686856,0.5,0.5,0.004049892531206189,[0.         0.         0.         0.02278821 0.         0.         0.         0.         0.         0.         0.02911853 0.         0.11364613 0.0257434  0.         0.         0.258393   0.         0.         0.         0.         0.         0.         0.         0.0418505  0.02107337 0.03238065 0.38943917 0.06556704 0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
10,0.07627257105156572,0.156502,0.00395685789686856,0.5,0.5,0.03861040232416524,[0.         0.         0.         0.02278821 0.         0.         0.         0.         0.         0.         0.02911853 0.         0.11364613 0.0257434  0.         0.         0.258393   0.         0.         0.         0.         0.         0.         0.         0.0418505  0.02107337 0.03238065 0.38943917 0.06556704 0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
20,0.07627257105156572,0.156502,0.00395685789686856,0.5,0.5,-0.061795835934701296,[0.         0.         0.         0.02278821 0.         0.         0.         0.         0.         0.         0.02911853 0.         0.11364613 0.0257434  0.         0.         0.258393   0.         0.         0.         0.         0.         0.         0.         0.0418505  0.02107337 0.03238065 0.38943917 0.06556704 0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
30,0.07627257105156572,0.156502,0.00395685789686856,0.5,0.5,0.0078102141896503165,[0.         0.         0.         0.02278821 0.         0.         0.         0.         0.         0.         0.02911853 0.         0.11364613 0.0257434  0.         0.         0.258393   0.         0.         0.         0.         0.         0.         0.         0.0418505  0.02107337 0.03238065 0.38943917 0.06556704 0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
40,0.07627257105156572,0.156502,0.00395685789686856,0.5,0.5,-0.0074667180182746325,[0.         0.         0.         0.02278821 0.         0.         0.         0.         0.         0.         0.02911853 0.         0.11364613 0.0257434  0.         0.         0.258393   0.         0.         0.         0.         0.         0.         0.         0.0418505  0.02107337 0.03238065 0.38943917 0.06556704 0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
50,0.07627257105156572,0.156502,0.00395685789686856,0.5,0.5,0.049406871711592935,[0.         0.         0.         0.02278821 0.         0.         0.         0.         0.         0.         0.02911853 0.         0.11364613 0.0257434  0.         0.         0.258393   0.         0.         0.         0.         0.         0.         0.         0.0418505  0.02107337 0.03238065 0.38943917 0.06556704 0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
60,0.07627257105156572,0.156502,0.00395685789686856,0.5,0.5,0.09769971042735213,[0.         0.         0.         0.02278821 0.         0.         0.         0.         0.         0.         0.02911853 0.         0.11364613 0.0257434  0.         0.         0.258393   0.         0.         0.         0.         0.         0.         0.         0.0418505  0.02107337 0.03238065 0.38943917 0.06556704 0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
70,0.07627257105156572,0.156502,0.00395685789686856,0.5,0.5,0.0400387550637583,[0.         0.         0.         0.02278821 0.         0.         0.         0.         0.         0.         0.02911853 0.         0.11364613 0.0257434  0.         0.         0.258393   0.         0.         0.         0.         0.         0.         0.         0.0418505  0.02107337 0.03238065 0.38943917 0.06556704 0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
80,0.07424401109974396,0.19097,0.003594895439821765,0.5,0.5,-0.004352087752737894,[0.         0.         0.         0.         0.06324644 0.         0.         0.04557732 0.         0.         0.         0.         0.         0.         0.07668958 0.         0.19984781 0.0814332  0.         0.06475077 0.         0.         0.         0.         0.         0.20706918 0.         0.11267053 0.         0.12271055 0.02600463],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
90,0.07424401109974396,0.19097,0.003594895439821765,0.5,0.5,0.07259171578738802,[0.         0.         0.         0.         0.06324644 0.         0.         0.04557732 0.         0.         0.         0.         0.         0.         0.07668958 0.         0.19984781 0.0814332  0.         0.06475077 0.         0.         0.         0.         0.         0.20706918 0.         0.11267053 0.         0.12271055 0.02600463],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,1000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem
