iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.0818017387086856,0.165937,0.0023335225826288117,0.30019999999999997,0.5,-0.03803999940038278,[0.         0.02541881 0.         0.         0.18600713 0.         0.         0.         0.4592208  0.         0.02795694 0.         0.         0.         0.         0.02321853 0.02064799 0.         0.         0.         0.         0.         0.         0.         0.         0.14259581 0.01246494 0.0845944  0.         0.01787466 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.3,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_par
10,0.0818017387086856,0.165937,0.0023335225826288117,0.302,0.5,-0.005966755001969744,[0.         0.02541881 0.         0.         0.18600713 0.         0.         0.         0.4592208  0.         0.02795694 0.         0.         0.         0.         0.02321853 0.02064799 0.         0.         0.         0.         0.         0.         0.         0.         0.14259581 0.01246494 0.0845944  0.         0.01787466 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.3,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_par
20,0.07594206607865782,0.193594,0.004106906536357541,0.304,0.5,-0.0412787406866201,[0.03696539 0.03023908 0.         0.         0.29508583 0.         0.         0.         0.         0.         0.034918   0.         0.02539451 0.         0.         0.07287964 0.02573909 0.         0.         0.         0.         0.         0.         0.         0.         0.29118052 0.         0.15950869 0.         0.02808923 0.        ],[1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.3,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_par
30,0.07594206607865782,0.193594,0.004106906536357541,0.306,0.5,0.03684304806611654,[0.03696539 0.03023908 0.         0.         0.29508583 0.         0.         0.         0.         0.         0.034918   0.         0.02539451 0.         0.         0.07287964 0.02573909 0.         0.         0.         0.         0.         0.         0.         0.         0.29118052 0.         0.15950869 0.         0.02808923 0.        ],[1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.3,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_par
40,0.05995684377880045,0.1764,0.003081277670505273,0.308,0.5,0.017915305153477605,[0.         0.         0.         0.         0.51567056 0.         0.         0.         0.         0.         0.03351903 0.03159664 0.02476016 0.         0.         0.0282658  0.02276909 0.         0.         0.         0.         0.         0.         0.03236386 0.         0.04326385 0.         0.24412759 0.         0.02366342 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.3,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_par
50,0.05995684377880045,0.1764,0.003081277670505273,0.31,0.5,-0.02644653896536313,[0.         0.         0.         0.         0.51567056 0.         0.         0.         0.         0.         0.03351903 0.03159664 0.02476016 0.         0.         0.0282658  0.02276909 0.         0.         0.         0.         0.         0.         0.03236386 0.         0.04326385 0.         0.24412759 0.         0.02366342 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.3,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_par
60,0.05995684377880045,0.1764,0.003081277670505273,0.312,0.5,0.01576380991476884,[0.         0.         0.         0.         0.51567056 0.         0.         0.         0.         0.         0.03351903 0.03159664 0.02476016 0.         0.         0.0282658  0.02276909 0.         0.         0.         0.         0.         0.         0.03236386 0.         0.04326385 0.         0.24412759 0.         0.02366342 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.3,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_par
70,0.05995684377880045,0.1764,0.003081277670505273,0.314,0.5,0.04880210424430297,[0.         0.         0.         0.         0.51567056 0.         0.         0.         0.         0.         0.03351903 0.03159664 0.02476016 0.         0.         0.0282658  0.02276909 0.         0.         0.         0.         0.         0.         0.03236386 0.         0.04326385 0.         0.24412759 0.         0.02366342 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.3,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_par
80,0.044167616890287226,0.17401,0.003926443624581521,0.316,0.5,0.07627448546778898,[0.         0.03255204 0.         0.         0.10977839 0.02150915 0.02150915 0.         0.         0.         0.02150915 0.         0.05890583 0.         0.         0.         0.02150915 0.         0.         0.         0.         0.         0.         0.         0.         0.31737451 0.         0.34434343 0.         0.05100921 0.        ],[0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.3,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_par
90,0.044167616890287226,0.17401,0.003926443624581521,0.318,0.5,-0.04292235539606626,[0.         0.03255204 0.         0.         0.10977839 0.02150915 0.02150915 0.         0.         0.         0.02150915 0.         0.05890583 0.         0.         0.         0.02150915 0.         0.         0.         0.         0.         0.         0.         0.         0.31737451 0.         0.34434343 0.         0.05100921 0.        ],[0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,100,10,0.9,0.3,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_par
