iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.073823990053064,0.150907,0.0032590198938720026,0.1004,0.69863918733465,-0.018061399676934587,[0.         0.         0.04633348 0.         0.         0.03198359 0.         0.         0.02845677 0.         0.         0.02606749 0.         0.         0.03281264 0.04701168 0.01577232 0.         0.         0.         0.02919578 0.         0.         0.         0.         0.33786937 0.         0.40449689 0.         0.         0.        ],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
10,0.05004545973387509,0.192459,0.003296594532427933,0.10400000000000001,0.6865103033060405,0.0478879814001825,[0.         0.         0.04403262 0.         0.16846994 0.02664196 0.         0.         0.03277754 0.         0.         0.01947222 0.         0.02096195 0.         0.         0.0249047  0.         0.         0.         0.         0.         0.02432339 0.         0.         0.12244946 0.         0.51596624 0.         0.         0.        ],[0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
20,0.05004545973387509,0.192459,0.003296594532427933,0.10800000000000001,0.6732805664933595,-0.0035567534761604927,[0.         0.         0.04403262 0.         0.16846994 0.02664196 0.         0.         0.03277754 0.         0.         0.01947222 0.         0.02096195 0.         0.         0.0249047  0.         0.         0.         0.         0.         0.02432339 0.         0.         0.12244946 0.         0.51596624 0.         0.         0.        ],[0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
30,0.05004545973387509,0.192459,0.003296594532427933,0.112,0.6603057798763129,-0.07026465142628605,[0.         0.         0.04403262 0.         0.16846994 0.02664196 0.         0.         0.03277754 0.         0.         0.01947222 0.         0.02096195 0.         0.         0.0249047  0.         0.         0.         0.         0.         0.02432339 0.         0.         0.12244946 0.         0.51596624 0.         0.         0.        ],[0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
40,0.05004545973387509,0.192459,0.003296594532427933,0.116,0.6475810303108847,-0.08310969017354734,[0.         0.         0.04403262 0.         0.16846994 0.02664196 0.         0.         0.03277754 0.         0.         0.01947222 0.         0.02096195 0.         0.         0.0249047  0.         0.         0.         0.         0.         0.02432339 0.         0.         0.12244946 0.         0.51596624 0.         0.         0.        ],[0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
50,0.05004545973387509,0.192459,0.003296594532427933,0.12000000000000001,0.6351014993342337,-0.10938032461166002,[0.         0.         0.04403262 0.         0.16846994 0.02664196 0.         0.         0.03277754 0.         0.         0.01947222 0.         0.02096195 0.         0.         0.0249047  0.         0.         0.         0.         0.         0.02432339 0.         0.         0.12244946 0.         0.51596624 0.         0.         0.        ],[0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
60,0.05004545973387509,0.192459,0.003296594532427933,0.124,0.622862461340094,0.04059815862403809,[0.         0.         0.04403262 0.         0.16846994 0.02664196 0.         0.         0.03277754 0.         0.         0.01947222 0.         0.02096195 0.         0.         0.0249047  0.         0.         0.         0.         0.         0.02432339 0.         0.         0.12244946 0.         0.51596624 0.         0.         0.        ],[0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
70,0.04900074293863826,0.186752,0.003928706417611881,0.128,0.6108592817893356,-0.037011410050640306,[0.         0.         0.03606816 0.         0.1392125  0.02244257 0.         0.01697147 0.         0.03932875 0.         0.         0.         0.         0.         0.04485452 0.         0.         0.         0.         0.         0.         0.02356993 0.         0.         0.5130424  0.02435378 0.14015591 0.         0.         0.        ],[0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
80,0.04900074293863826,0.186752,0.003928706417611881,0.132,0.5990874154550098,-0.04136169300847139,[0.         0.         0.03606816 0.         0.1392125  0.02244257 0.         0.01697147 0.         0.03932875 0.         0.         0.         0.         0.         0.04485452 0.         0.         0.         0.         0.         0.         0.02356993 0.         0.         0.5130424  0.02435378 0.14015591 0.         0.         0.        ],[0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
90,0.0462215830188057,0.196561,0.00348352973932503,0.136,0.5875424047012152,0.09601380404429988,[0.         0.         0.         0.         0.20229693 0.         0.         0.         0.05343038 0.         0.         0.01867217 0.02022835 0.02557433 0.02822928 0.         0.         0.         0.         0.         0.03080676 0.         0.         0.         0.         0.19917801 0.02823056 0.39335323 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0.],10.0,best,1000,100,10,0.9,0.1,0.5,0.1,0.7,0.1,0.5,1,10,,tuning_sigma
