iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag
1,0.06913695698496874,0.142052,0.0037780860300625084,0.5,0.5,-0.04291368635431115,[0.         0.         0.         0.         0.12880887 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02073605 0.         0.         0.14758833 0.01433443 0.07199654 0.         0.03212864 0.         0.         0.04106984 0.17681073 0.         0.19790585 0.         0.16862072 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,30,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
10,0.06913695698496874,0.142052,0.0037780860300625084,0.5,0.5,0.0307249659519616,[0.         0.         0.         0.         0.12880887 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02073605 0.         0.         0.14758833 0.01433443 0.07199654 0.         0.03212864 0.         0.         0.04106984 0.17681073 0.         0.19790585 0.         0.16862072 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,30,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
20,0.06913695698496874,0.142052,0.0037780860300625084,0.5,0.5,0.06890780496239197,[0.         0.         0.         0.         0.12880887 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02073605 0.         0.         0.14758833 0.01433443 0.07199654 0.         0.03212864 0.         0.         0.04106984 0.17681073 0.         0.19790585 0.         0.16862072 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,30,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
30,0.06913695698496874,0.142052,0.0037780860300625084,0.5,0.5,-0.040578035938634786,[0.         0.         0.         0.         0.12880887 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02073605 0.         0.         0.14758833 0.01433443 0.07199654 0.         0.03212864 0.         0.         0.04106984 0.17681073 0.         0.19790585 0.         0.16862072 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,30,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
40,0.06913695698496874,0.142052,0.0037780860300625084,0.5,0.5,0.0882934814232848,[0.         0.         0.         0.         0.12880887 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02073605 0.         0.         0.14758833 0.01433443 0.07199654 0.         0.03212864 0.         0.         0.04106984 0.17681073 0.         0.19790585 0.         0.16862072 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,30,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
50,0.06913695698496874,0.142052,0.0037780860300625084,0.5,0.5,0.05639031880440845,[0.         0.         0.         0.         0.12880887 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02073605 0.         0.         0.14758833 0.01433443 0.07199654 0.         0.03212864 0.         0.         0.04106984 0.17681073 0.         0.19790585 0.         0.16862072 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,30,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
60,0.06913695698496874,0.142052,0.0037780860300625084,0.5,0.5,-0.024354933422564753,[0.         0.         0.         0.         0.12880887 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02073605 0.         0.         0.14758833 0.01433443 0.07199654 0.         0.03212864 0.         0.         0.04106984 0.17681073 0.         0.19790585 0.         0.16862072 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,30,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
70,0.06913695698496874,0.142052,0.0037780860300625084,0.5,0.5,0.033517021465441506,[0.         0.         0.         0.         0.12880887 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02073605 0.         0.         0.14758833 0.01433443 0.07199654 0.         0.03212864 0.         0.         0.04106984 0.17681073 0.         0.19790585 0.         0.16862072 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,30,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
80,0.06913695698496874,0.142052,0.0037780860300625084,0.5,0.5,-0.011605421507129881,[0.         0.         0.         0.         0.12880887 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02073605 0.         0.         0.14758833 0.01433443 0.07199654 0.         0.03212864 0.         0.         0.04106984 0.17681073 0.         0.19790585 0.         0.16862072 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,30,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
90,0.06913695698496874,0.142052,0.0037780860300625084,0.5,0.5,-0.014534599736997424,[0.         0.         0.         0.         0.12880887 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02073605 0.         0.         0.14758833 0.01433443 0.07199654 0.         0.03212864 0.         0.         0.04106984 0.17681073 0.         0.19790585 0.         0.16862072 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,30,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size
