iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.00934747894480786,0.180969,0.003652604726731158,0.504,0.894725436791504,-5.447405747865215,[0.         0.06878431 0.         0.         0.02226755 0.         0.01813516 0.         0.         0.         0.         0.         0.         0.         0.01459438 0.02308234 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.73759475 0.         0.10357064 0.         0.01197086 0.        ],[0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],8.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.23,1,8,,problem_solving,10
2,0.00934747894480786,0.180969,0.003652604726731158,0.508,0.8894817858241639,3.896228347765425,[0.         0.06878431 0.         0.         0.02226755 0.         0.01813516 0.         0.         0.         0.         0.         0.         0.         0.01459438 0.02308234 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.73759475 0.         0.10357064 0.         0.01197086 0.        ],[0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],8.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.23,1,8,,problem_solving,10
3,0.00934747894480786,0.180969,0.003652604726731158,0.512,0.8842688659329022,0.8408856135972715,[0.         0.06878431 0.         0.         0.02226755 0.         0.01813516 0.         0.         0.         0.         0.         0.         0.         0.01459438 0.02308234 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.73759475 0.         0.10357064 0.         0.01197086 0.        ],[0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],8.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.23,1,8,,problem_solving,10
4,0.0030730044483303284,0.187723,0.005903909431812661,0.516,0.879086497014382,-11.139297853245894,[0.         0.01108881 0.         0.         0.01108881 0.         0.         0.         0.0202378  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.87787489 0.         0.01792306 0.01556713 0.01896403 0.02725546],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1.],8.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.23,1,8,,problem_solving,10
5,0.0030730044483303284,0.187723,0.005903909431812661,0.52,0.8739345000207845,-6.589606600191269,[0.         0.01108881 0.         0.         0.01108881 0.         0.         0.         0.0202378  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.87787489 0.         0.01792306 0.01556713 0.01896403 0.02725546],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1.],8.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.23,1,8,,problem_solving,10
6,0.0030730044483303284,0.187723,0.005903909431812661,0.524,0.8688126969536234,-3.5893602486145553,[0.         0.01108881 0.         0.         0.01108881 0.         0.         0.         0.0202378  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.87787489 0.         0.01792306 0.01556713 0.01896403 0.02725546],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1.],8.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.23,1,8,,problem_solving,10
7,0.0030730044483303284,0.187723,0.005903909431812661,0.528,0.8637209108575947,7.76142835575351,[0.         0.01108881 0.         0.         0.01108881 0.         0.         0.         0.0202378  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.87787489 0.         0.01792306 0.01556713 0.01896403 0.02725546],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1.],8.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.23,1,8,,problem_solving,10
8,0.0030730044483303284,0.187723,0.005903909431812661,0.532,0.8586589658144633,2.4062168879526022,[0.         0.01108881 0.         0.         0.01108881 0.         0.         0.         0.0202378  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.87787489 0.         0.01792306 0.01556713 0.01896403 0.02725546],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1.],8.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.23,1,8,,problem_solving,10
9,0.0030730044483303284,0.187723,0.005903909431812661,0.536,0.8536266869369854,-2.1514382054001344,[0.         0.01108881 0.         0.         0.01108881 0.         0.         0.         0.0202378  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.87787489 0.         0.01792306 0.01556713 0.01896403 0.02725546],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1.],8.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.23,1,8,,problem_solving,10
10,0.0030730044483303284,0.187723,0.005903909431812661,0.54,0.8486239003628652,4.866682414954801,[0.         0.01108881 0.         0.         0.01108881 0.         0.         0.         0.0202378  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.87787489 0.         0.01792306 0.01556713 0.01896403 0.02725546],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1.],8.0,best,100,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.23,1,8,,problem_solving,10
