iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.0031531742497279964,0.092374,0.00038592164952919785,0.5004,0.8994711474430547,-14.133451635973648,[0.         0.         0.         0.         0.         0.         0.         0.         0.97250754 0.         0.         0.         0.01254138 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01495109 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.65,1,3,,run_05,10
10,0.0031531742497279964,0.092374,0.00038592164952919785,0.504,0.894725436791504,-3.658943203458246,[0.         0.         0.         0.         0.         0.         0.         0.         0.97250754 0.         0.         0.         0.01254138 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01495109 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],3.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.65,1,3,,run_05,10
20,0.0008611614440182506,0.090966,0.003496148728575565,0.508,0.8894817858241639,1.116625689312572,[0.         0.         0.         0.         0.         0.         0.         0.         0.97592301 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01203849 0.         0.01203849 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],3.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.65,1,3,,run_05,10
30,0.0008611614440182506,0.090966,0.003496148728575565,0.512,0.8842688659329022,2.4265705237566375,[0.         0.         0.         0.         0.         0.         0.         0.         0.97592301 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01203849 0.         0.01203849 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],3.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.65,1,3,,run_05,10
40,0.0008611614440182506,0.090966,0.003496148728575565,0.516,0.879086497014382,7.7092580937879065,[0.         0.         0.         0.         0.         0.         0.         0.         0.97592301 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01203849 0.         0.01203849 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],3.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.65,1,3,,run_05,10
50,0.0008611614440182506,0.090966,0.003496148728575565,0.52,0.8739345000207845,-4.3510686782211225,[0.         0.         0.         0.         0.         0.         0.         0.         0.97592301 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01203849 0.         0.01203849 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],3.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.65,1,3,,run_05,10
60,0.0008611614440182506,0.090966,0.003496148728575565,0.524,0.8688126969536234,-4.542535027193485,[0.         0.         0.         0.         0.         0.         0.         0.         0.97592301 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01203849 0.         0.01203849 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],3.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.65,1,3,,run_05,10
70,0.0008611614440182506,0.090966,0.003496148728575565,0.528,0.8637209108575947,8.555282430871673,[0.         0.         0.         0.         0.         0.         0.         0.         0.97592301 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01203849 0.         0.01203849 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],3.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.65,1,3,,run_05,10
80,0.0008611614440182506,0.090966,0.003496148728575565,0.532,0.8586589658144633,-6.000925039730359,[0.         0.         0.         0.         0.         0.         0.         0.         0.97592301 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01203849 0.         0.01203849 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],3.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.65,1,3,,run_05,10
90,0.0008611614440182506,0.090966,0.003496148728575565,0.536,0.8536266869369854,1.1980102853573573,[0.         0.         0.         0.         0.         0.         0.         0.         0.97592301 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01203849 0.         0.01203849 0.         0.         0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],3.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.65,1,3,,run_05,10
