iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.039144122291248785,0.194164,0.003219143067361444,0.5004,0.8990117918683904,-0.22933453283422225,[0.         0.         0.         0.04942913 0.         0.01673769 0.01673769 0.         0.         0.         0.         0.         0.04198495 0.02313544 0.         0.03941058 0.         0.         0.0643321  0.         0.         0.         0.         0.         0.04175585 0.02313544 0.         0.68334111 0.         0.         0.        ],[0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.3,0.9,0.1,0.5,1,10,,tuning_bw,20
10,0.03796912766302813,0.195516,0.004907903762853281,0.504,0.8901666037549537,0.03712672471185448,[0.03438323 0.02230433 0.03103386 0.         0.06060063 0.         0.         0.         0.         0.         0.02230433 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.02230433 0.         0.         0.01597118 0.65171141 0.         0.09379967 0.04558703],[1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.3,0.9,0.1,0.5,1,10,,tuning_bw,20
20,0.03652385987293223,0.193004,0.004445043181093004,0.508,0.880440647156254,-0.08559372092257671,[0.         0.         0.         0.01584905 0.08540256 0.         0.         0.01584905 0.04204782 0.02136223 0.         0.         0.         0.         0.         0.02729935 0.         0.         0.         0.         0.05354484 0.06555241 0.         0.         0.         0.01584905 0.         0.65724364 0.         0.         0.        ],[0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.3,0.9,0.1,0.5,1,10,,tuning_bw,20
30,0.026002696449616745,0.192554,0.004891941517735988,0.512,0.8708209563187734,0.03164254538016678,[0.         0.02872112 0.         0.02177707 0.         0.         0.         0.02177707 0.01588899 0.         0.         0.         0.         0.         0.         0.         0.         0.01955449 0.         0.         0.01588899 0.01955449 0.         0.03766115 0.         0.03309455 0.         0.78608209 0.         0.         0.        ],[0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.3,0.9,0.1,0.5,1,10,,tuning_bw,20
40,0.026002696449616745,0.192554,0.004891941517735988,0.516,0.8613063701832483,0.08885030332332285,[0.         0.02872112 0.         0.02177707 0.         0.         0.         0.02177707 0.01588899 0.         0.         0.         0.         0.         0.         0.         0.         0.01955449 0.         0.         0.01588899 0.01955449 0.         0.03766115 0.         0.03309455 0.         0.78608209 0.         0.         0.        ],[0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.3,0.9,0.1,0.5,1,10,,tuning_bw,20
50,0.026002696449616745,0.192554,0.004891941517735988,0.52,0.8518957403761434,-0.047341916924340734,[0.         0.02872112 0.         0.02177707 0.         0.         0.         0.02177707 0.01588899 0.         0.         0.         0.         0.         0.         0.         0.         0.01955449 0.         0.         0.01588899 0.01955449 0.         0.03766115 0.         0.03309455 0.         0.78608209 0.         0.         0.        ],[0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.3,0.9,0.1,0.5,1,10,,tuning_bw,20
60,0.026002696449616745,0.192554,0.004891941517735988,0.524,0.842587931071048,-0.10503413522499216,[0.         0.02872112 0.         0.02177707 0.         0.         0.         0.02177707 0.01588899 0.         0.         0.         0.         0.         0.         0.         0.         0.01955449 0.         0.         0.01588899 0.01955449 0.         0.03766115 0.         0.03309455 0.         0.78608209 0.         0.         0.        ],[0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.3,0.9,0.1,0.5,1,10,,tuning_bw,20
70,0.026002696449616745,0.192554,0.004891941517735988,0.528,0.8333818188515865,-0.0830206239596327,[0.         0.02872112 0.         0.02177707 0.         0.         0.         0.02177707 0.01588899 0.         0.         0.         0.         0.         0.         0.         0.         0.01955449 0.         0.         0.01588899 0.01955449 0.         0.03766115 0.         0.03309455 0.         0.78608209 0.         0.         0.        ],[0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.3,0.9,0.1,0.5,1,10,,tuning_bw,20
80,0.025720185722317605,0.186398,0.004782962138288998,0.532,0.8242762925758252,-0.009379125685187235,[0.         0.         0.01594819 0.         0.05534022 0.         0.         0.02986739 0.03938447 0.         0.         0.0268932  0.         0.01594819 0.         0.         0.         0.01594819 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.76377293 0.         0.01594819 0.02094902],[0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.3,0.9,0.1,0.5,1,10,,tuning_bw,20
90,0.025720185722317605,0.186398,0.004782962138288998,0.536,0.8152702532421632,-0.05020367616262791,[0.         0.         0.01594819 0.         0.05534022 0.         0.         0.02986739 0.03938447 0.         0.         0.0268932  0.         0.01594819 0.         0.         0.         0.01594819 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.76377293 0.         0.01594819 0.02094902],[0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.3,0.9,0.1,0.5,1,10,,tuning_bw,20
