iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.07797709835407304,0.159676,0.003721803291853939,0.5,0.5,0.057662952843892425,[0.         0.09810069 0.         0.         0.         0.         0.         0.         0.12143167 0.         0.         0.         0.0514179  0.         0.         0.0215422  0.01370729 0.         0.         0.         0.         0.         0.         0.         0.14940629 0.14658805 0.         0.18331516 0.02453872 0.         0.18995204],[0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
2,0.07797709835407304,0.159676,0.003721803291853939,0.5,0.5,-0.06456427421085065,[0.         0.09810069 0.         0.         0.         0.         0.         0.         0.12143167 0.         0.         0.         0.0514179  0.         0.         0.0215422  0.01370729 0.         0.         0.         0.         0.         0.         0.         0.14940629 0.14658805 0.         0.18331516 0.02453872 0.         0.18995204],[0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
3,0.07797709835407304,0.159676,0.003721803291853939,0.5,0.5,0.04613960148734037,[0.         0.09810069 0.         0.         0.         0.         0.         0.         0.12143167 0.         0.         0.         0.0514179  0.         0.         0.0215422  0.01370729 0.         0.         0.         0.         0.         0.         0.         0.14940629 0.14658805 0.         0.18331516 0.02453872 0.         0.18995204],[0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
4,0.07797709835407304,0.159676,0.003721803291853939,0.5,0.5,0.06017136480218678,[0.         0.09810069 0.         0.         0.         0.         0.         0.         0.12143167 0.         0.         0.         0.0514179  0.         0.         0.0215422  0.01370729 0.         0.         0.         0.         0.         0.         0.         0.14940629 0.14658805 0.         0.18331516 0.02453872 0.         0.18995204],[0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
5,0.07797709835407304,0.159676,0.003721803291853939,0.5,0.5,-0.022000600863310828,[0.         0.09810069 0.         0.         0.         0.         0.         0.         0.12143167 0.         0.         0.         0.0514179  0.         0.         0.0215422  0.01370729 0.         0.         0.         0.         0.         0.         0.         0.14940629 0.14658805 0.         0.18331516 0.02453872 0.         0.18995204],[0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
6,0.07797709835407304,0.159676,0.003721803291853939,0.5,0.5,-0.018573560627414817,[0.         0.09810069 0.         0.         0.         0.         0.         0.         0.12143167 0.         0.         0.         0.0514179  0.         0.         0.0215422  0.01370729 0.         0.         0.         0.         0.         0.         0.         0.14940629 0.14658805 0.         0.18331516 0.02453872 0.         0.18995204],[0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
7,0.07797709835407304,0.159676,0.003721803291853939,0.5,0.5,0.06520399332791735,[0.         0.09810069 0.         0.         0.         0.         0.         0.         0.12143167 0.         0.         0.         0.0514179  0.         0.         0.0215422  0.01370729 0.         0.         0.         0.         0.         0.         0.         0.14940629 0.14658805 0.         0.18331516 0.02453872 0.         0.18995204],[0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
8,0.07731077476836404,0.195031,0.00335820575138783,0.5,0.5,0.08367155190251899,[0.22077937 0.         0.         0.         0.         0.         0.         0.01828104 0.         0.0418209  0.         0.         0.         0.01828104 0.         0.15539602 0.         0.         0.         0.         0.         0.         0.03571017 0.         0.01828104 0.40142853 0.         0.05155741 0.03846448 0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
9,0.07047766155420411,0.194591,0.0033328277303500123,0.5,0.5,-0.00019543230252278942,[0.         0.06179829 0.         0.         0.16734639 0.         0.         0.         0.04693355 0.04850017 0.         0.         0.         0.11120981 0.         0.         0.         0.         0.         0.         0.         0.1148234  0.         0.03609687 0.         0.28089529 0.         0.06095726 0.07143897 0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
10,0.07047766155420411,0.194591,0.0033328277303500123,0.5,0.5,0.0321326456431888,[0.         0.06179829 0.         0.         0.16734639 0.         0.         0.         0.04693355 0.04850017 0.         0.         0.         0.11120981 0.         0.         0.         0.         0.         0.         0.         0.1148234  0.         0.03609687 0.         0.28089529 0.         0.06095726 0.07143897 0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
11,0.07047766155420411,0.194591,0.0033328277303500123,0.5,0.5,-0.031103158387598407,[0.         0.06179829 0.         0.         0.16734639 0.         0.         0.         0.04693355 0.04850017 0.         0.         0.         0.11120981 0.         0.         0.         0.         0.         0.         0.         0.1148234  0.         0.03609687 0.         0.28089529 0.         0.06095726 0.07143897 0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
12,0.07047766155420411,0.194591,0.0033328277303500123,0.5,0.5,-0.0073406723864552215,[0.         0.06179829 0.         0.         0.16734639 0.         0.         0.         0.04693355 0.04850017 0.         0.         0.         0.11120981 0.         0.         0.         0.         0.         0.         0.         0.1148234  0.         0.03609687 0.         0.28089529 0.         0.06095726 0.07143897 0.         0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0.],10.0,best,100,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter,20
