iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.0836001896325147,0.172127,0.0049266207349706135,0.5,0.5,-0.01074502994188481,[0.         0.         0.         0.         0.01839431 0.         0.         0.         0.         0.         0.01839431 0.         0.         0.         0.         0.         0.0699987  0.09471579 0.         0.01839431 0.14674886 0.         0.         0.         0.         0.5122061  0.01839431 0.08435899 0.         0.01839431 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],10.0,best,10000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
100,0.07347414849296566,0.185077,0.0024836131895193464,0.5,0.5,0.02321229254991345,[0.0180209  0.         0.         0.         0.         0.10237197 0.         0.         0.02424739 0.         0.0180209  0.         0.         0.         0.         0.05970239 0.         0.         0.         0.         0.         0.0180209  0.         0.         0.05181383 0.62472506 0.         0.         0.         0.04194317 0.04113348],[1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1.],10.0,best,10000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
200,0.06884193833726254,0.179478,0.004469943392616843,0.5,0.5,-0.007951695668903129,[0.         0.         0.         0.         0.02127155 0.         0.         0.         0.12417272 0.         0.0261245  0.         0.         0.02127155 0.03150583 0.04647254 0.         0.02127155 0.         0.         0.         0.         0.         0.         0.         0.23588796 0.         0.29925919 0.         0.17276261 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0.],10.0,best,10000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
300,0.04696324271327873,0.185878,0.003089778186845679,0.5,0.5,0.14584803390478718,[0.         0.02335039 0.         0.         0.         0.         0.         0.04735357 0.         0.01739124 0.01739124 0.         0.         0.06965666 0.         0.         0.         0.         0.         0.         0.         0.         0.02335039 0.         0.02335039 0.65497827 0.0899254  0.03325245 0.         0.         0.        ],[0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0.],10.0,best,10000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
400,0.04512436188540795,0.185037,0.004542202292897288,0.5,0.5,-0.09172325485824047,[0.         0.02104067 0.04273979 0.07766402 0.06862423 0.05257706 0.         0.         0.09858896 0.         0.         0.         0.         0.         0.         0.         0.02398157 0.         0.         0.         0.         0.         0.         0.         0.         0.56806912 0.         0.02529219 0.         0.         0.02142239],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,best,10000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
500,0.04512436188540795,0.185037,0.004542202292897288,0.5,0.5,0.06296317745840962,[0.         0.02104067 0.04273979 0.07766402 0.06862423 0.05257706 0.         0.         0.09858896 0.         0.         0.         0.         0.         0.         0.         0.02398157 0.         0.         0.         0.         0.         0.         0.         0.         0.56806912 0.         0.02529219 0.         0.         0.02142239],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,best,10000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
600,0.04512436188540795,0.185037,0.004542202292897288,0.5,0.5,0.027740830474489116,[0.         0.02104067 0.04273979 0.07766402 0.06862423 0.05257706 0.         0.         0.09858896 0.         0.         0.         0.         0.         0.         0.         0.02398157 0.         0.         0.         0.         0.         0.         0.         0.         0.56806912 0.         0.02529219 0.         0.         0.02142239],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,best,10000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
700,0.04512436188540795,0.185037,0.004542202292897288,0.5,0.5,0.0035290712112366835,[0.         0.02104067 0.04273979 0.07766402 0.06862423 0.05257706 0.         0.         0.09858896 0.         0.         0.         0.         0.         0.         0.         0.02398157 0.         0.         0.         0.         0.         0.         0.         0.         0.56806912 0.         0.02529219 0.         0.         0.02142239],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,best,10000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
800,0.04512436188540795,0.185037,0.004542202292897288,0.5,0.5,-0.03276302260079938,[0.         0.02104067 0.04273979 0.07766402 0.06862423 0.05257706 0.         0.         0.09858896 0.         0.         0.         0.         0.         0.         0.         0.02398157 0.         0.         0.         0.         0.         0.         0.         0.         0.56806912 0.         0.02529219 0.         0.         0.02142239],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,best,10000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
900,0.04512436188540795,0.185037,0.004542202292897288,0.5,0.5,0.002156248704195517,[0.         0.02104067 0.04273979 0.07766402 0.06862423 0.05257706 0.         0.         0.09858896 0.         0.         0.         0.         0.         0.         0.         0.02398157 0.         0.         0.         0.         0.         0.         0.         0.         0.56806912 0.         0.02529219 0.         0.         0.02142239],[0. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,best,10000,100,10,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_iter_par_all,20
