iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.0353783642082757,0.194035,0.003185447562544041,0.5004,0.8994711474430547,-7.986952508114068,[0.         0.01288625 0.01288625 0.         0.05568003 0.01748345 0.         0.         0.         0.         0.         0.         0.         0.01337382 0.01288625 0.0133736  0.         0.         0.01288625 0.01288625 0.         0.         0.         0.         0.         0.         0.         0.83565787 0.         0.         0.        ],[0. 1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_local_search,10
10,0.02529303445075813,0.194612,0.005641747193817724,0.504,0.894725436791504,-1.4234818602598946,[0.         0.         0.         0.         0.88207661 0.         0.         0.01235276 0.02460311 0.         0.01236819 0.         0.         0.01211626 0.         0.         0.01187719 0.         0.         0.         0.01115147 0.         0.         0.         0.         0.         0.         0.01115147 0.01115147 0.01115147 0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_local_search,10
20,0.02466440057691485,0.191344,0.0032004820867095707,0.508,0.8894817858241639,-2.395099581477906,[0.         0.0123796  0.         0.         0.03192868 0.         0.         0.         0.         0.         0.0123796  0.         0.         0.0123796  0.         0.         0.         0.         0.         0.0123796  0.         0.01568126 0.         0.         0.         0.07302497 0.01211252 0.80562165 0.         0.         0.01211252],[0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_local_search,10
30,0.02080434620077061,0.189924,0.003231862493305709,0.512,0.8842688659329022,0.9980866084556833,[0.01101534 0.         0.         0.         0.01141562 0.         0.         0.         0.         0.         0.         0.         0.02944098 0.         0.06834225 0.         0.02234708 0.         0.         0.         0.         0.01101534 0.         0.         0.         0.81200629 0.01142551 0.01154648 0.01144511 0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_local_search,10
40,0.02080434620077061,0.189924,0.003231862493305709,0.516,0.879086497014382,2.881109751399414,[0.01101534 0.         0.         0.         0.01141562 0.         0.         0.         0.         0.         0.         0.         0.02944098 0.         0.06834225 0.         0.02234708 0.         0.         0.         0.         0.01101534 0.         0.         0.         0.81200629 0.01142551 0.01154648 0.01144511 0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_local_search,10
50,0.02080434620077061,0.189924,0.003231862493305709,0.52,0.8739345000207845,-3.5187463528672582,[0.01101534 0.         0.         0.         0.01141562 0.         0.         0.         0.         0.         0.         0.         0.02944098 0.         0.06834225 0.         0.02234708 0.         0.         0.         0.         0.01101534 0.         0.         0.         0.81200629 0.01142551 0.01154648 0.01144511 0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_local_search,10
60,0.019756199879304652,0.185794,0.004117813377642843,0.524,0.8688126969536234,-6.02259858354757,[0.         0.         0.         0.         0.0151733  0.         0.         0.         0.         0.01230325 0.         0.         0.04505352 0.         0.01230325 0.         0.         0.         0.         0.01287323 0.         0.01282756 0.01230325 0.02814654 0.01287988 0.83613623 0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_local_search,10
70,0.01662940026540117,0.18317,0.0031715156350172373,0.528,0.8637209108575947,4.2468718167626704,[0.01103875 0.         0.         0.01259762 0.01103875 0.         0.         0.         0.89008125 0.         0.         0.         0.         0.         0.01355113 0.         0.01324335 0.         0.01103875 0.01103875 0.         0.         0.         0.         0.         0.         0.         0.0133781  0.         0.01299357 0.        ],[1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_local_search,10
80,0.014447480380442825,0.178594,0.0031901891752379678,0.532,0.8586589658144633,2.471575482290223,[0.         0.         0.01657976 0.         0.         0.         0.         0.         0.         0.         0.01325993 0.01327377 0.         0.         0.         0.         0.01323113 0.01279943 0.01279943 0.         0.         0.         0.01323315 0.         0.         0.01316455 0.         0.87585908 0.         0.         0.01579977],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_local_search,10
90,0.014447480380442825,0.178594,0.0031901891752379678,0.536,0.8536266869369854,-1.4262645449924207,[0.         0.         0.01657976 0.         0.         0.         0.         0.         0.         0.         0.01325993 0.01327377 0.         0.         0.         0.         0.01323113 0.01279943 0.01279943 0.         0.         0.         0.01323315 0.         0.         0.01316455 0.         0.87585908 0.         0.         0.01579977],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_local_search,10
