iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.07437050288887104,0.198386,0.002584739423632569,0.5,0.5,-0.03236565320304568,[0.         0.         0.         0.06235422 0.06101592 0.         0.         0.         0.         0.         0.         0.         0.         0.07494497 0.         0.         0.         0.0246413  0.         0.         0.03304117 0.         0.         0.         0.05628529 0.5157013  0.         0.         0.02504404 0.06137503 0.08559676],[0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
10,0.06947879845456253,0.199968,0.004411085479555979,0.5,0.5,-0.023749069480134527,[0.         0.         0.         0.         0.03139624 0.         0.         0.0927019  0.         0.         0.         0.         0.         0.         0.         0.07817555 0.         0.         0.04773822 0.03768773 0.         0.04167108 0.         0.05825484 0.         0.46347377 0.         0.03768773 0.         0.11121295 0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
20,0.058762524648850366,0.197405,0.003040573020501707,0.5,0.5,-0.009404513902830088,[0.05630939 0.         0.08981965 0.         0.         0.         0.         0.         0.         0.         0.07002683 0.         0.05425817 0.         0.         0.04558549 0.         0.         0.04298167 0.         0.02292479 0.         0.         0.         0.         0.53489036 0.05531927 0.0278844  0.         0.         0.        ],[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
30,0.04207890379650412,0.197748,0.003784543786082332,0.5,0.5,-0.02939142757273301,[0.02596645 0.03566525 0.         0.         0.         0.         0.         0.         0.         0.         0.05566505 0.01811149 0.07991163 0.         0.         0.         0.01811149 0.         0.         0.         0.         0.         0.         0.         0.         0.66871636 0.05377435 0.02596645 0.         0.         0.01811149],[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
40,0.04207890379650412,0.197748,0.003784543786082332,0.5,0.5,-0.041046626729441024,[0.02596645 0.03566525 0.         0.         0.         0.         0.         0.         0.         0.         0.05566505 0.01811149 0.07991163 0.         0.         0.         0.01811149 0.         0.         0.         0.         0.         0.         0.         0.         0.66871636 0.05377435 0.02596645 0.         0.         0.01811149],[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
50,0.04207890379650412,0.197748,0.003784543786082332,0.5,0.5,0.028354244635931676,[0.02596645 0.03566525 0.         0.         0.         0.         0.         0.         0.         0.         0.05566505 0.01811149 0.07991163 0.         0.         0.         0.01811149 0.         0.         0.         0.         0.         0.         0.         0.         0.66871636 0.05377435 0.02596645 0.         0.         0.01811149],[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
60,0.039931272816461826,0.193638,0.00329911103297556,0.5,0.5,0.050616518318885445,[0.         0.         0.         0.         0.         0.         0.03847826 0.         0.0170152  0.07601897 0.         0.         0.04539229 0.         0.         0.02547986 0.         0.         0.         0.         0.0170152  0.         0.04844106 0.         0.         0.6896641  0.         0.0170152  0.02547986 0.         0.        ],[0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
70,0.03331545116259021,0.191578,0.0026486038764972674,0.5,0.5,0.019394118708988384,[0.         0.         0.         0.04641347 0.         0.01683287 0.         0.         0.05495496 0.         0.         0.02717972 0.         0.         0.         0.02280911 0.         0.         0.         0.         0.01872309 0.         0.         0.03235674 0.0353021  0.72859508 0.         0.01683287 0.         0.         0.        ],[0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
80,0.03331545116259021,0.191578,0.0026486038764972674,0.5,0.5,-0.0033180753607528774,[0.         0.         0.         0.04641347 0.         0.01683287 0.         0.         0.05495496 0.         0.         0.02717972 0.         0.         0.         0.02280911 0.         0.         0.         0.         0.01872309 0.         0.         0.03235674 0.0353021  0.72859508 0.         0.01683287 0.         0.         0.        ],[0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
90,0.03331545116259021,0.191578,0.0026486038764972674,0.5,0.5,0.07172701049426108,[0.         0.         0.         0.04641347 0.         0.01683287 0.         0.         0.05495496 0.         0.         0.02717972 0.         0.         0.         0.02280911 0.         0.         0.         0.         0.01872309 0.         0.         0.03235674 0.0353021  0.72859508 0.         0.01683287 0.         0.         0.        ],[0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
100,0.03331545116259021,0.191578,0.0026486038764972674,0.5,0.5,-0.022014407137231826,[0.         0.         0.         0.04641347 0.         0.01683287 0.         0.         0.05495496 0.         0.         0.02717972 0.         0.         0.         0.02280911 0.         0.         0.         0.         0.01872309 0.         0.         0.03235674 0.0353021  0.72859508 0.         0.01683287 0.         0.         0.        ],[0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
110,0.03331545116259021,0.191578,0.0026486038764972674,0.5,0.5,-0.007123246104697639,[0.         0.         0.         0.04641347 0.         0.01683287 0.         0.         0.05495496 0.         0.         0.02717972 0.         0.         0.         0.02280911 0.         0.         0.         0.         0.01872309 0.         0.         0.03235674 0.0353021  0.72859508 0.         0.01683287 0.         0.         0.        ],[0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
120,0.03331545116259021,0.191578,0.0026486038764972674,0.5,0.5,-0.03252866997736207,[0.         0.         0.         0.04641347 0.         0.01683287 0.         0.         0.05495496 0.         0.         0.02717972 0.         0.         0.         0.02280911 0.         0.         0.         0.         0.01872309 0.         0.         0.03235674 0.0353021  0.72859508 0.         0.01683287 0.         0.         0.        ],[0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
130,0.03331545116259021,0.191578,0.0026486038764972674,0.5,0.5,-0.04542382994466054,[0.         0.         0.         0.04641347 0.         0.01683287 0.         0.         0.05495496 0.         0.         0.02717972 0.         0.         0.         0.02280911 0.         0.         0.         0.         0.01872309 0.         0.         0.03235674 0.0353021  0.72859508 0.         0.01683287 0.         0.         0.        ],[0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_mem_consider,20
