iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.07783834009030918,0.159194,0.00351731981938165,0.10060000000000001,0.5,-0.029074496127141875,[0.         0.         0.         0.         0.         0.04214555 0.         0.         0.31314406 0.         0.03141023 0.         0.02156537 0.         0.         0.         0.         0.         0.07970219 0.         0.         0.05337085 0.         0.         0.03455126 0.03211783 0.         0.3498985  0.         0.04209416 0.        ],[0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0.],10.0,best,1000,1000,100,0.9,0.1,0.7,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
10,0.06273506645364908,0.196137,0.003145641554115045,0.10600000000000001,0.5,-0.0049963692049625925,[0.         0.         0.         0.02997704 0.57266858 0.         0.         0.08936822 0.02564462 0.         0.0465084  0.         0.         0.         0.         0.08944916 0.         0.         0.         0.         0.03322256 0.         0.         0.         0.         0.         0.         0.06898234 0.01826419 0.02591489 0.        ],[0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0.],10.0,best,1000,1000,100,0.9,0.1,0.7,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
20,0.05317874473614548,0.195434,0.0035641595044949683,0.112,0.5,0.09945863140488687,[0.         0.03987769 0.         0.         0.06447501 0.0264407  0.         0.         0.08442812 0.         0.         0.         0.         0.         0.         0.01992    0.         0.         0.02944705 0.         0.         0.14236267 0.         0.06339843 0.         0.10228314 0.         0.42736718 0.         0.         0.        ],[0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.1,0.7,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
30,0.05317874473614548,0.195434,0.0035641595044949683,0.11800000000000001,0.5,-0.01728184100743004,[0.         0.03987769 0.         0.         0.06447501 0.0264407  0.         0.         0.08442812 0.         0.         0.         0.         0.         0.         0.01992    0.         0.         0.02944705 0.         0.         0.14236267 0.         0.06339843 0.         0.10228314 0.         0.42736718 0.         0.         0.        ],[0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.1,0.7,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
40,0.05317874473614548,0.195434,0.0035641595044949683,0.124,0.5,0.02548302671157166,[0.         0.03987769 0.         0.         0.06447501 0.0264407  0.         0.         0.08442812 0.         0.         0.         0.         0.         0.         0.01992    0.         0.         0.02944705 0.         0.         0.14236267 0.         0.06339843 0.         0.10228314 0.         0.42736718 0.         0.         0.        ],[0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.1,0.7,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
50,0.05317874473614548,0.195434,0.0035641595044949683,0.13,0.5,0.007716400282108205,[0.         0.03987769 0.         0.         0.06447501 0.0264407  0.         0.         0.08442812 0.         0.         0.         0.         0.         0.         0.01992    0.         0.         0.02944705 0.         0.         0.14236267 0.         0.06339843 0.         0.10228314 0.         0.42736718 0.         0.         0.        ],[0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.1,0.7,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
60,0.05317874473614548,0.195434,0.0035641595044949683,0.136,0.5,-0.031090049461571897,[0.         0.03987769 0.         0.         0.06447501 0.0264407  0.         0.         0.08442812 0.         0.         0.         0.         0.         0.         0.01992    0.         0.         0.02944705 0.         0.         0.14236267 0.         0.06339843 0.         0.10228314 0.         0.42736718 0.         0.         0.        ],[0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.1,0.7,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
70,0.05317874473614548,0.195434,0.0035641595044949683,0.14200000000000002,0.5,0.0031380220250861544,[0.         0.03987769 0.         0.         0.06447501 0.0264407  0.         0.         0.08442812 0.         0.         0.         0.         0.         0.         0.01992    0.         0.         0.02944705 0.         0.         0.14236267 0.         0.06339843 0.         0.10228314 0.         0.42736718 0.         0.         0.        ],[0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.1,0.7,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
80,0.05317874473614548,0.195434,0.0035641595044949683,0.148,0.5,0.07959439655515091,[0.         0.03987769 0.         0.         0.06447501 0.0264407  0.         0.         0.08442812 0.         0.         0.         0.         0.         0.         0.01992    0.         0.         0.02944705 0.         0.         0.14236267 0.         0.06339843 0.         0.10228314 0.         0.42736718 0.         0.         0.        ],[0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.1,0.7,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
90,0.05317874473614548,0.195434,0.0035641595044949683,0.154,0.5,0.004695148824150033,[0.         0.03987769 0.         0.         0.06447501 0.0264407  0.         0.         0.08442812 0.         0.         0.         0.         0.         0.         0.01992    0.         0.         0.02944705 0.         0.         0.14236267 0.         0.06339843 0.         0.10228314 0.         0.42736718 0.         0.         0.        ],[0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],10.0,best,1000,1000,100,0.9,0.1,0.7,0.5,0.5,0.1,0.5,1,10,,tuning_par,20
