iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.021158624891300166,0.197304,0.004211587932157078,0.5004,0.8994711474430547,-4.538965092088144,[0.         0.         0.         0.         0.         0.         0.01205729 0.         0.01153539 0.         0.         0.         0.         0.         0.01320696 0.         0.01153539 0.         0.         0.01153539 0.01363424 0.         0.         0.         0.         0.11799017 0.         0.78460184 0.         0.0120443  0.01185904],[0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_sigma,20
10,0.020043233331543085,0.196175,0.0031047351070658904,0.504,0.894725436791504,2.4384893649677726,[0.         0.         0.         0.         0.86829117 0.         0.         0.01286552 0.0125261  0.01291793 0.         0.         0.         0.         0.01294539 0.         0.         0.01804228 0.         0.         0.         0.         0.0125261  0.         0.         0.         0.         0.02483329 0.0125261  0.         0.0125261 ],[0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_sigma,20
20,0.017490104492696872,0.193798,0.003309085974065988,0.508,0.8894817858241639,-1.7942637126810488,[0.01136151 0.         0.         0.         0.01282483 0.01259361 0.         0.         0.88116439 0.         0.         0.         0.01152817 0.         0.         0.         0.         0.01116634 0.         0.         0.01136201 0.         0.         0.         0.         0.01134    0.         0.01134    0.02531913 0.         0.        ],[1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_sigma,20
30,0.013493382229076725,0.194362,0.004534894860729062,0.512,0.8842688659329022,-8.520516173282958,[0.         0.         0.         0.         0.01128322 0.01232364 0.01152862 0.         0.02262391 0.         0.0113949  0.         0.         0.01152345 0.         0.         0.         0.01149572 0.01128322 0.         0.         0.         0.         0.         0.         0.88101404 0.         0.         0.01552927 0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_sigma,20
40,0.013493382229076725,0.194362,0.004534894860729062,0.516,0.879086497014382,5.398766717136223,[0.         0.         0.         0.         0.01128322 0.01232364 0.01152862 0.         0.02262391 0.         0.0113949  0.         0.         0.01152345 0.         0.         0.         0.01149572 0.01128322 0.         0.         0.         0.         0.         0.         0.88101404 0.         0.         0.01552927 0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_sigma,20
50,0.013493382229076725,0.194362,0.004534894860729062,0.52,0.8739345000207845,-4.551408228897413,[0.         0.         0.         0.         0.01128322 0.01232364 0.01152862 0.         0.02262391 0.         0.0113949  0.         0.         0.01152345 0.         0.         0.         0.01149572 0.01128322 0.         0.         0.         0.         0.         0.         0.88101404 0.         0.         0.01552927 0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_sigma,20
60,0.013493382229076725,0.194362,0.004534894860729062,0.524,0.8688126969536234,-1.6608231787289292,[0.         0.         0.         0.         0.01128322 0.01232364 0.01152862 0.         0.02262391 0.         0.0113949  0.         0.         0.01152345 0.         0.         0.         0.01149572 0.01128322 0.         0.         0.         0.         0.         0.         0.88101404 0.         0.         0.01552927 0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_sigma,20
70,0.013493382229076725,0.194362,0.004534894860729062,0.528,0.8637209108575947,-6.052739851358987,[0.         0.         0.         0.         0.01128322 0.01232364 0.01152862 0.         0.02262391 0.         0.0113949  0.         0.         0.01152345 0.         0.         0.         0.01149572 0.01128322 0.         0.         0.         0.         0.         0.         0.88101404 0.         0.         0.01552927 0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_sigma,20
80,0.013493382229076725,0.194362,0.004534894860729062,0.532,0.8586589658144633,4.576919993931723,[0.         0.         0.         0.         0.01128322 0.01232364 0.01152862 0.         0.02262391 0.         0.0113949  0.         0.         0.01152345 0.         0.         0.         0.01149572 0.01128322 0.         0.         0.         0.         0.         0.         0.88101404 0.         0.         0.01552927 0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_sigma,20
90,0.013493382229076725,0.194362,0.004534894860729062,0.536,0.8536266869369854,-4.840311448724266,[0.         0.         0.         0.         0.01128322 0.01232364 0.01152862 0.         0.02262391 0.         0.0113949  0.         0.         0.01152345 0.         0.         0.         0.01149572 0.01128322 0.         0.         0.         0.         0.         0.         0.88101404 0.         0.         0.01552927 0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0.],10.0,best,1000,1000,100,0.9,0.5,0.9,0.5,0.9,5,0.5,1,10,,tuning_sigma,20
