iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.0805962928369638,0.165859,0.004666414326072405,0.5,0.5,0.04344461217484421,[0.         0.         0.         0.         0.47381294 0.         0.         0.10036901 0.         0.06453876 0.08168827 0.         0.         0.0239787  0.05043049 0.         0.         0.02502283 0.         0.05384691 0.         0.         0.         0.         0.         0.02502283 0.         0.         0.         0.         0.10128925],[0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
10,0.07179033990966194,0.263542,0.002981399524969423,0.5,0.5,0.08554905109140659,[0.         0.         0.02140685 0.         0.36171232 0.         0.         0.02140685 0.         0.02140685 0.         0.         0.         0.         0.         0.         0.12771669 0.         0.         0.         0.02140685 0.02253517 0.         0.         0.         0.12394767 0.09582966 0.         0.18263107 0.         0.        ],[0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
20,0.06370997893950248,0.255753,0.002695525208796659,0.5,0.5,-0.01903455695663419,[0.         0.01712241 0.         0.         0.4566334  0.         0.05833548 0.07573813 0.         0.         0.01712241 0.         0.         0.         0.06431985 0.         0.         0.         0.         0.05473548 0.         0.         0.         0.         0.02624716 0.         0.         0.13378869 0.         0.095957   0.        ],[0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
30,0.06348147187603756,0.251635,0.0033819371647834983,0.5,0.5,0.08498478515142596,[0.         0.02461888 0.         0.         0.47627161 0.         0.         0.         0.01868446 0.         0.         0.         0.         0.         0.0397751  0.         0.04609473 0.05825983 0.0669287  0.         0.         0.         0.073224   0.         0.         0.         0.         0.11328215 0.         0.08286055 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
40,0.06348147187603756,0.251635,0.0033819371647834983,0.5,0.5,0.08577292150055259,[0.         0.02461888 0.         0.         0.47627161 0.         0.         0.         0.01868446 0.         0.         0.         0.         0.         0.0397751  0.         0.04609473 0.05825983 0.0669287  0.         0.         0.         0.073224   0.         0.         0.         0.         0.11328215 0.         0.08286055 0.        ],[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
50,0.0597660469173807,0.285075,0.0030972885519865443,0.5,0.5,-0.016998188631825357,[0.         0.05274833 0.         0.08682323 0.50299964 0.         0.0453121  0.         0.         0.03064675 0.         0.         0.         0.         0.03037295 0.         0.         0.03968742 0.         0.         0.         0.         0.         0.         0.         0.         0.01967561 0.10754579 0.         0.         0.08418818],[0. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
60,0.0597660469173807,0.285075,0.0030972885519865443,0.5,0.5,-0.008648511821753644,[0.         0.05274833 0.         0.08682323 0.50299964 0.         0.0453121  0.         0.         0.03064675 0.         0.         0.         0.         0.03037295 0.         0.         0.03968742 0.         0.         0.         0.         0.         0.         0.         0.         0.01967561 0.10754579 0.         0.         0.08418818],[0. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
70,0.0597660469173807,0.285075,0.0030972885519865443,0.5,0.5,-0.005983204825218142,[0.         0.05274833 0.         0.08682323 0.50299964 0.         0.0453121  0.         0.         0.03064675 0.         0.         0.         0.         0.03037295 0.         0.         0.03968742 0.         0.         0.         0.         0.         0.         0.         0.         0.01967561 0.10754579 0.         0.         0.08418818],[0. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
80,0.05908826011676231,0.228256,0.003727886599539175,0.5,0.5,0.023588890214748956,[0.05643629 0.01734798 0.         0.         0.56562431 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08203466 0.         0.03110933 0.         0.         0.         0.07496756 0.01734798 0.         0.08729212 0.04455935 0.         0.         0.0232804 ],[1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0. 1.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
90,0.05775799812723421,0.22289,0.0031738903233909936,0.5,0.5,0.04437390509251203,[0.         0.         0.         0.         0.48593738 0.04648588 0.         0.06999445 0.01579469 0.01982895 0.         0.         0.         0.         0.         0.10438701 0.         0.04649199 0.         0.         0.         0.         0.         0.05379907 0.         0.         0.         0.11096347 0.0463171  0.         0.        ],[0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
100,0.05775799812723421,0.22289,0.0031738903233909936,0.5,0.5,-0.01544155104586479,[0.         0.         0.         0.         0.48593738 0.04648588 0.         0.06999445 0.01579469 0.01982895 0.         0.         0.         0.         0.         0.10438701 0.         0.04649199 0.         0.         0.         0.         0.         0.05379907 0.         0.         0.         0.11096347 0.0463171  0.         0.        ],[0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0.],10.0,best,1000,100,100,0.5,0.5,0.5,0.5,0.5,0.1,0.5,1,10,,tuning_size,20
