iter,cost,risk,return,par,bw,move,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
1,0.012440172459392839,0.118462,0.002877100785217728,0.50004,0.8999471007548476,-1.8335752427834733,[0.         0.         0.         0.         0.92473724 0.         0.         0.01274442 0.         0.         0.01265429 0.         0.         0.         0.01266797 0.         0.         0.         0.         0.01328581 0.         0.         0.         0.         0.         0.         0.0112961  0.01261417 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
100,0.006606658574094074,0.120948,0.005833664526350816,0.504,0.894725436791504,-4.1390913831870595,[0.         0.         0.         0.         0.92757631 0.01172986 0.         0.         0.01172986 0.0119696  0.         0.         0.         0.01190781 0.         0.         0.         0.         0.         0.         0.01335669 0.         0.         0.         0.         0.01172986 0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
200,0.006606658574094074,0.120948,0.005833664526350816,0.508,0.8894817858241639,3.7928592370897656,[0.         0.         0.         0.         0.92757631 0.01172986 0.         0.         0.01172986 0.0119696  0.         0.         0.         0.01190781 0.         0.         0.         0.         0.         0.         0.01335669 0.         0.         0.         0.         0.01172986 0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
300,0.006606658574094074,0.120948,0.005833664526350816,0.512,0.8842688659329022,-6.0904946039104395,[0.         0.         0.         0.         0.92757631 0.01172986 0.         0.         0.01172986 0.0119696  0.         0.         0.         0.01190781 0.         0.         0.         0.         0.         0.         0.01335669 0.         0.         0.         0.         0.01172986 0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
400,0.006606658574094074,0.120948,0.005833664526350816,0.516,0.879086497014382,-2.62527826177492,[0.         0.         0.         0.         0.92757631 0.01172986 0.         0.         0.01172986 0.0119696  0.         0.         0.         0.01190781 0.         0.         0.         0.         0.         0.         0.01335669 0.         0.         0.         0.         0.01172986 0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
500,0.006526161635023226,0.091423,0.003763267654302621,0.52,0.8739345000207845,6.083560515878618,[0.         0.         0.         0.         0.         0.         0.         0.         0.01138287 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01098345 0.         0.         0.         0.01193996 0.01321458 0.         0.92947577 0.         0.01098345 0.         0.         0.01201991],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
600,0.006526161635023226,0.091423,0.003763267654302621,0.524,0.8688126969536234,6.423964402550258,[0.         0.         0.         0.         0.         0.         0.         0.         0.01138287 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01098345 0.         0.         0.         0.01193996 0.01321458 0.         0.92947577 0.         0.01098345 0.         0.         0.01201991],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
700,0.006526161635023226,0.091423,0.003763267654302621,0.528,0.8637209108575947,0.4866661400356932,[0.         0.         0.         0.         0.         0.         0.         0.         0.01138287 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01098345 0.         0.         0.         0.01193996 0.01321458 0.         0.92947577 0.         0.01098345 0.         0.         0.01201991],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
800,0.006526161635023226,0.091423,0.003763267654302621,0.532,0.8586589658144633,3.3374046773087316,[0.         0.         0.         0.         0.         0.         0.         0.         0.01138287 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01098345 0.         0.         0.         0.01193996 0.01321458 0.         0.92947577 0.         0.01098345 0.         0.         0.01201991],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
900,0.006526161635023226,0.091423,0.003763267654302621,0.536,0.8536266869369854,-1.9000036868791574,[0.         0.         0.         0.         0.         0.         0.         0.         0.01138287 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01098345 0.         0.         0.         0.01193996 0.01321458 0.         0.92947577 0.         0.01098345 0.         0.         0.01201991],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
1000,0.005749449352517559,0.11262,0.005210166912729293,0.54,0.8486239003628652,9.992065060812495,[0.01164952 0.         0.         0.         0.92779302 0.         0.0132432  0.         0.01203555 0.         0.01164952 0.         0.         0.         0.         0.         0.01197967 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01164952 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
1100,0.005749449352517559,0.11262,0.005210166912729293,0.544,0.8436504332487491,-0.6758593219470228,[0.01164952 0.         0.         0.         0.92779302 0.         0.0132432  0.         0.01203555 0.         0.01164952 0.         0.         0.         0.         0.         0.01197967 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01164952 0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
1200,0.0053009068660540845,0.105673,0.005969486360908438,0.548,0.838706113764254,6.711179160938705,[0.         0.         0.         0.         0.92684836 0.01204841 0.         0.         0.         0.         0.01127775 0.         0.         0.015605   0.         0.         0.         0.         0.         0.01147237 0.         0.         0.         0.         0.         0.01147035 0.         0.01127775 0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],7.0,best,10000,100000,100,0.9,0.5,0.9,0.5,0.9,5,0.53,1,7,,problem_solving,10
